Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1737,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,25,1995,30.5,1823,1767,44,19,4,25,57,24,1,0,0,0,1401,12,30
1738,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,23,1997,5,176,126,49,17,0,2,0,0,0,0,0,0,116,1,0
1739,Éder Militão,br BRA,DF,Real Madrid,es La Liga,22,1998,12.6,791,768,21,12,0,13,2,9,0,0,0,0,714,2,2
1740,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,29,1991,26.2,1341,1237,99,66,2,10,38,4,23,10,9,2,1091,5,16
1741,Luis Milla,es ESP,MF,Granada,es La Liga,25,1994,13.9,544,484,54,33,2,5,35,1,17,5,7,0,416,6,10
1742,Pere Milla,es ESP,FWMF,Elche,es La Liga,27,1992,22,595,566,25,3,4,3,9,5,2,1,0,0,428,4,32
1743,Álex Millán,es ESP,FW,Villarreal,es La Liga,20,1999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1744,Vincenzo Millico,it ITA,FWMF,Torino,it Serie A,19,2000,0.2,9,8,1,0,0,0,1,0,1,1,0,0,7,0,0
1745,Enzo Millot,fr FRA,MF,Monaco,fr Ligue 1,18,2002,0.5,23,17,6,2,0,0,4,2,2,2,0,0,16,0,2
1746,James Milner,eng ENG,MFDF,Liverpool,eng Premier League,34,1986,11.9,934,863,67,13,1,3,34,39,13,5,6,0,779,4,24
1747,Santi Mina,es ESP,FW,Celta Vigo,es La Liga,24,1995,26.8,617,593,22,1,0,6,9,6,0,0,0,0,438,2,11
1748,Yerry Mina,co COL,DF,Everton,eng Premier League,25,1994,21.5,1259,1226,32,28,0,6,0,1,0,0,0,0,1134,1,6
1749,Takumi Minamino,jp JPN,MF,Southampton,eng Premier League,25,1995,7.9,261,257,1,0,0,1,9,0,0,0,0,0,183,3,13
1750,Takumi Minamino,jp JPN,MFFW,Liverpool,eng Premier League,25,1995,3.3,142,137,5,0,0,1,3,1,0,0,0,0,111,0,6
1751,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,27,1993,35.5,1696,1630,59,53,0,21,5,5,0,0,0,0,1314,7,12
1752,Óscar Mingueza,es ESP,DF,Barcelona,es La Liga,21,1999,21.1,1683,1571,109,39,0,5,15,70,0,0,0,0,1545,3,22
1753,Rafa Mir,es ESP,FW,Huesca,es La Liga,23,1997,32,457,421,26,0,0,5,21,3,0,0,0,0,249,10,21
1754,Jorge Miramón,es ESP,DF,Levante,es La Liga,31,1989,19.2,1055,861,192,6,0,6,70,186,0,0,0,0,807,2,21
1755,Aleksei Miranchuk,ru RUS,MFFW,Atalanta,it Serie A,24,1995,7.5,408,385,20,4,2,1,15,5,9,4,4,0,316,3,9
1756,Juan Miranda,es ESP,DF,Betis,es La Liga,20,2000,18.4,952,757,189,14,0,2,56,175,0,0,0,0,691,6,19
1757,Antonio Mirante,it ITA,GK,Roma,it Serie A,37,1983,12.8,427,304,123,35,0,0,0,0,0,0,0,0,336,0,1
1758,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,20,1999,19,809,620,187,6,0,0,27,181,0,0,0,0,556,2,37
1759,Aleksandar Mitrović,rs SRB,FW,Fulham,eng Premier League,25,1994,15.6,388,364,22,1,2,1,4,4,1,0,0,0,284,2,11
1760,Stefan Mitrović,rs SRB,DF,Strasbourg,fr Ligue 1,30,1990,30.9,1275,1221,53,49,0,12,0,4,0,0,0,0,1112,1,2
1761,Maximilian Mittelstädt,de GER,DFFW,Hertha BSC,de Bundesliga,23,1997,20,1146,942,200,24,0,21,79,174,2,1,0,0,840,4,33
1762,Henrikh Mkhitaryan,am ARM,MFFW,Roma,it Serie A,31,1989,30.5,1227,1191,29,8,13,7,53,16,4,2,1,0,927,7,49
1763,Jakub Moder,pl POL,DFMF,Brighton,eng Premier League,21,1999,7.2,284,273,11,1,0,1,11,10,0,0,0,0,203,0,15
