Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
859,Mijat Gaćinović,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,22,1995,20.2,56,44,21,27,8,38,1,37,39,95,22,1
860,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,23,1994,22.1,63,45,28,29,6,18,3,15,45,108,32,2
861,Nicolás Gaitán,ar ARG,MFFW,Atlético Madrid,es La Liga,29,1988,2.4,9,6,3,5,1,2,0,2,1,10,3,0
862,Milan Gajić,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,4,6,3,4,2,0,7,0,7,4,10,14,0
863,Serge Gakpé,tg TOG,FWMF,Amiens,fr Ligue 1,30,1987,20.3,16,11,9,7,0,18,1,17,10,26,15,0
864,Andrey Galabinov,bg BUL,FW,Genoa,it Serie A,28,1988,12.5,7,5,0,5,2,17,1,16,2,9,11,0
865,Álex Gálvez,es ESP,DF,Las Palmas,es La Liga,28,1989,18,50,36,26,24,0,20,11,9,43,93,74,2
866,Álex Gálvez,es ESP,DF,Eibar,es La Liga,28,1989,4,11,4,5,6,0,5,1,4,13,24,17,0
867,Bruno Gama,pt POR,FWMF,La Coruña,es La Liga,29,1987,1.3,1,1,1,0,0,0,0,0,0,1,2,0
868,Alessandro Gamberini,it ITA,DF,Chievo,it Serie A,35,1981,20.2,13,8,11,2,0,32,25,7,16,29,117,1
869,Kévin Gameiro,fr FRA,FW,Atlético Madrid,es La Liga,30,1987,12.5,11,9,3,4,4,6,0,6,4,15,11,0
870,Jesús Gámez,es ESP,DF,Newcastle Utd,eng Premier League,32,1985,1.1,4,2,1,0,3,2,0,2,2,6,5,0
871,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,27,1989,30.6,117,93,65,41,11,59,9,50,62,179,48,1
872,Ignatius Ganago,cm CMR,FWMF,Nice,fr Ligue 1,18,1999,0.8,0,0,0,0,0,1,0,1,0,0,1,0
873,Najib Gandi,fr FRA,FWMF,Nantes,fr Ligue 1,23,1994,1.1,6,5,3,2,1,4,1,3,4,10,3,0
874,Ganso,br BRA,MF,Sevilla,es La Liga,27,1989,5.8,15,11,3,12,0,7,0,7,2,17,4,0
875,Ezequiel Garay,ar ARG,DF,Valencia,es La Liga,30,1986,22.5,18,12,15,3,0,22,11,11,24,42,139,0
876,Aleix García,es ESP,MF,Girona,es La Liga,20,1997,9.5,24,14,13,9,2,9,1,8,17,41,12,0
877,Borja García,es ESP,MF,Girona,es La Liga,26,1990,31.1,39,18,15,18,6,31,2,29,30,69,15,0
878,Dani García,es ESP,MF,Eibar,es La Liga,27,1990,30.8,80,59,23,47,10,28,4,24,70,150,25,0
879,David García,es ESP,DF,Las Palmas,es La Liga,35,1982,9.6,16,10,10,4,2,15,8,7,19,35,33,1
880,Javi García,es ESP,MFDF,Betis,es La Liga,30,1987,26.8,34,22,18,16,0,19,12,7,25,59,78,1
881,Manu García,es ESP,MF,Alavés,es La Liga,31,1986,27.1,95,65,38,51,6,34,11,23,35,130,67,0
882,Raúl García,es ESP,MFFW,Athletic Club,es La Liga,31,1986,29.2,82,51,28,36,18,55,3,52,30,112,23,0
883,Raúl García,es ESP,DF,Leganés,es La Liga,28,1989,15.5,34,25,24,9,1,18,3,15,19,53,50,1
884,Samu García,es ESP,MF,Málaga,es La Liga,27,1990,2,8,6,4,3,1,4,0,4,6,14,3,0
885,Samu García,es ESP,FWMF,Levante,es La Liga,27,1990,2.1,9,7,1,6,2,3,0,3,1,10,2,0
886,Sergio García,es ESP,FWMF,Espanyol,es La Liga,34,1983,18.2,15,12,1,10,4,6,3,3,10,25,12,0
887,Ulisses Garcia,ch SUI,FW,Werder Bremen,de Bundesliga,21,1996,1,1,1,1,0,0,0,0,0,0,1,3,0
888,Luca Garritano,it ITA,MFFW,Chievo,it Serie A,23,1994,2.1,4,3,2,1,1,3,1,2,1,5,6,0
889,Bruno Gaspar,ao ANG,DF,Fiorentina,it Serie A,24,1993,8.7,20,11,13,6,1,8,1,7,9,29,25,0
890,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,26,1990,31.2,110,66,63,37,10,58,11,47,58,168,114,0
891,Gianluca Gaudino,de GER,MF,Chievo,it Serie A,20,1996,0.2,0,0,0,0,0,1,0,1,0,0,1,0
892,Dwight Gayle,eng ENG,FW,Newcastle Utd,eng Premier League,26,1990,21.8,12,10,2,8,2,16,2,14,6,18,17,0
893,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,25,1992,1,0,0,0,0,0,0,0,0,0,0,0,0
894,Marcello Gazzola,it ITA,DF,Sassuolo,it Serie A,32,1985,8.2,10,9,3,6,1,10,2,8,8,18,25,0
895,Jean-Philippe Gbamin,ci CIV,MFDF,Mainz 05,de Bundesliga,21,1995,28.8,78,63,48,26,4,50,10,40,50,128,80,0
896,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,26,1990,37,0,0,0,0,0,1,0,1,0,0,9,3
897,Theodor Gebre Selassie,cz CZE,DFFW,Werder Bremen,de Bundesliga,30,1986,31.4,67,41,36,25,6,34,2,32,51,118,83,1
898,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,19,1998,17.6,52,36,19,31,2,38,2,36,15,67,7,0
899,Johannes Geis,de GER,DFMF,Sevilla,es La Liga,23,1993,7.5,20,15,12,7,1,13,5,8,10,30,27,1
900,Jérémy Gélin,fr FRA,DFMF,Rennes,fr Ligue 1,20,1997,25.7,37,18,22,14,1,22,12,10,37,74,92,3
901,Romain Genevois,ht HAI,DF,Caen,fr Ligue 1,29,1987,20.1,48,28,27,13,8,25,11,14,31,79,76,0
902,Santiago Gentiletti,ar ARG,DF,Genoa,it Serie A,32,1985,3.2,4,3,4,0,0,1,0,1,3,7,11,1
903,Christian Gentner,de GER,MF,Stuttgart,de Bundesliga,31,1985,26.8,91,67,35,44,12,41,5,36,35,126,52,0
904,Yannick Gerhardt,de GER,DFMF,Wolfsburg,de Bundesliga,23,1994,13.6,37,28,18,14,5,25,5,20,15,52,31,0
905,Valère Germain,fr FRA,FW,Marseille,fr Ligue 1,27,1990,24.1,16,11,5,7,4,11,0,11,6,22,19,0
906,Gerson,br BRA,MFFW,Roma,it Serie A,20,1997,10.1,20,12,10,8,2,15,2,13,11,31,11,1
907,Willem Geubbels,fr FRA,FWMF,Lyon,fr Ligue 1,15,2001,0.4,2,2,1,1,0,0,0,0,0,2,0,0
908,Yassine El Ghanassy,be BEL,MFFW,Nantes,fr Ligue 1,27,1990,7.2,7,4,1,3,3,1,0,1,4,11,4,0
909,Anwar El Ghazi,nl NED,FWMF,Lille,fr Ligue 1,22,1995,18.3,23,18,7,13,3,11,1,10,7,30,7,1
910,Rachid Ghezzal,dz ALG,FWMF,Monaco,fr Ligue 1,25,1992,11.2,31,24,6,22,3,17,0,17,11,42,2,1
911,Faouzi Ghoulam,dz ALG,DF,Napoli,it Serie A,26,1991,10.9,8,4,3,5,0,10,2,8,15,23,19,0
912,Emanuele Giaccherini,it ITA,MFFW,Chievo,it Serie A,32,1985,10,7,4,4,2,1,9,3,6,5,12,6,0
913,Emanuele Giaccherini,it ITA,FWMF,Napoli,it Serie A,32,1985,0.7,1,1,0,1,0,0,0,0,0,1,0,0
914,Niccolò Giannetti,it ITA,FWDF,Cagliari,it Serie A,26,1991,3.3,5,4,2,3,0,1,0,1,1,6,3,0
915,Kieran Gibbs,eng ENG,DF,West Brom,eng Premier League,27,1989,31.4,41,24,27,10,4,32,12,20,48,89,102,0
916,Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,29,1987,1.7,0,0,0,0,0,0,0,0,0,0,0,0
917,Carles Gil,es ESP,FWMF,La Coruña,es La Liga,24,1992,5.3,6,4,1,4,1,5,0,5,4,10,0,0
918,Nacho Gil,es ESP,FWMF,Las Palmas,es La Liga,21,1995,8.1,10,6,6,2,2,9,0,9,6,16,2,0
919,Nacho Gil,es ESP,MF,Valencia,es La Liga,21,1995,2.5,6,1,2,4,0,6,0,6,2,8,2,0
920,Guillaume Gillet,be BEL,MF,Nantes,fr Ligue 1,33,1984,0.2,0,0,0,0,0,1,1,0,0,0,0,0
921,Dani Giménez,es ESP,GK,Betis,es La Liga,34,1983,3.4,0,0,0,0,0,0,0,0,0,0,0,0
922,Daniel Ginczek,de GER,FW,Stuttgart,de Bundesliga,26,1991,16.9,8,4,3,5,0,16,1,15,5,13,13,0
923,Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,23,1994,34,48,37,27,20,1,40,17,23,40,88,114,1
924,Jimmy Giraudon,fr FRA,DF,Troyes,fr Ligue 1,25,1992,23.2,26,16,20,6,0,30,22,8,31,57,128,2
925,Thibault Giresse,fr FRA,FWMF,Guingamp,fr Ligue 1,36,1981,0.3,0,0,0,0,0,0,0,0,1,1,0,0
926,Andrei Girotto,br BRA,MF,Nantes,fr Ligue 1,25,1992,16.9,57,38,15,37,5,32,7,25,15,72,45,1
927,Olivier Giroud,fr FRA,FW,Arsenal,eng Premier League,30,1986,4.3,5,4,1,2,2,1,0,1,1,6,4,0
928,Olivier Giroud,fr FRA,FW,Chelsea,eng Premier League,30,1986,6.8,4,3,1,2,1,0,0,0,1,5,5,0
929,Kamil Glik,pl POL,DF,Monaco,fr Ligue 1,29,1988,36,36,23,22,12,2,28,18,10,54,90,279,2
930,Serge Gnabry,de GER,FW,Hoffenheim,de Bundesliga,22,1995,16.7,32,22,10,18,4,15,1,14,8,40,9,2
931,Joris Gnagnon,fr FRA,DF,Rennes,fr Ligue 1,20,1997,32.4,42,29,29,9,4,22,16,6,29,71,154,2
932,Massimo Gobbi,it ITA,DF,Chievo,it Serie A,36,1980,22.8,24,18,13,9,2,20,5,15,22,46,90,1
933,Diego Godín,uy URU,DF,Atlético Madrid,es La Liga,31,1986,28.4,50,33,37,11,2,33,20,13,59,109,145,1
934,Edoardo Goldaniga,it ITA,DF,Sassuolo,it Serie A,23,1993,12.8,14,8,10,4,0,10,5,5,19,33,56,0
935,Connor Goldson,eng ENG,DF,Brighton,eng Premier League,24,1992,2.2,2,2,1,1,0,3,3,0,1,3,9,0
936,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,22,1995,6.9,0,0,0,0,0,0,0,0,0,0,1,0
937,André Gomes,pt POR,MF,Barcelona,es La Liga,24,1993,7.1,19,12,8,10,1,7,1,6,4,23,6,0
938,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,36,1981,23.6,0,0,0,0,0,1,0,1,2,2,15,3
939,Ibai Gómez,es ESP,MFFW,Alavés,es La Liga,27,1989,25.8,19,15,11,4,4,16,1,15,15,34,20,1
940,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,20,1997,21.1,58,45,32,23,3,19,8,11,34,92,57,1
941,Mario Gómez,de GER,FW,Wolfsburg,de Bundesliga,32,1985,10.4,6,6,2,3,1,10,1,9,0,6,16,0
942,Mario Gómez,de GER,FW,Stuttgart,de Bundesliga,32,1985,15.4,13,11,0,8,5,6,0,6,4,17,17,0
943,Maxi Gómez,uy URU,FW,Celta Vigo,es La Liga,20,1996,34.1,7,4,1,4,2,9,4,5,3,10,34,0
944,Papu Gómez,ar ARG,MFFW,Atalanta,it Serie A,29,1988,30.6,14,9,6,5,3,16,1,15,22,36,7,0
945,Sergi Gómez,es ESP,DF,Celta Vigo,es La Liga,25,1992,29.8,52,37,38,13,1,32,22,10,56,108,118,1
946,Sergio Gómez,es ESP,MF,Dortmund,de Bundesliga,16,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0
947,Vicente Gómez,es ESP,MF,Las Palmas,es La Liga,28,1988,16.9,21,13,6,11,4,18,4,14,17,38,14,1
948,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,23,1993,25.1,0,0,0,0,0,0,0,0,1,1,10,3
949,Maxime Gonalons,fr FRA,MF,Roma,it Serie A,28,1989,12.2,26,18,7,12,7,15,4,11,23,49,19,1
950,Anthony Gonçalves,fr FRA,MFFW,Strasbourg,fr Ligue 1,31,1986,19.5,50,31,14,32,4,27,0,27,25,75,27,0
951,Vagner Gonçalves,cv CPV,FW,Saint-Étienne,fr Ligue 1,21,1996,1.2,0,0,0,0,0,2,0,2,0,0,0,0
952,Jérôme Gondorf,de GER,MFFW,Werder Bremen,de Bundesliga,29,1988,8.9,12,9,3,9,0,11,2,9,6,18,12,0
953,Adrián González,es ESP,MFFW,Málaga,es La Liga,29,1988,26,40,25,14,22,4,25,8,17,38,78,34,0
954,Álvaro González,es ESP,DF,Villarreal,es La Liga,27,1990,32.2,38,26,30,7,1,34,23,11,53,91,188,0
955,Bruno González,es ESP,DF,Getafe,es La Liga,27,1990,17.1,25,18,18,7,0,11,3,8,31,56,107,0
956,Diego González,es ESP,DF,Málaga,es La Liga,22,1995,15.9,27,19,20,7,0,25,10,15,19,46,69,0
957,Fabio González,es ESP,MF,Las Palmas,es La Liga,20,1997,0.7,2,1,2,0,0,1,0,1,1,3,1,0
958,Giancarlo González,cr CRC,DF,Bologna,it Serie A,29,1988,20.6,20,15,14,5,1,26,18,8,33,53,152,1
959,Mario González,es ESP,FW,Villarreal,es La Liga,21,1996,0.2,0,0,0,0,0,1,0,1,0,0,0,0
960,Georges Gope-Fenepej,nc NCL,FW,Amiens,fr Ligue 1,28,1988,0.5,0,0,0,0,0,0,0,0,0,0,0,0
961,Leon Goretzka,de GER,MF,Schalke 04,de Bundesliga,22,1995,22,50,34,22,22,6,45,4,41,41,91,35,0
962,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,26,1990,4,0,0,0,0,0,0,0,0,0,0,0,1
963,Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,20,1996,0.8,3,2,1,2,0,1,0,1,4,7,1,0
964,Robin Gosens,de GER,DF,Atalanta,it Serie A,23,1994,16.1,61,46,35,22,4,17,2,15,22,83,40,0
965,Dan Gosling,eng ENG,MF,Bournemouth,eng Premier League,27,1990,21.6,50,25,19,26,5,36,8,28,25,75,35,0
966,Mario Götze,de GER,MF,Dortmund,de Bundesliga,25,1992,17.8,50,43,19,24,7,17,1,16,8,58,9,0
967,Mohamed Gouaida,tn TUN,MF,Hamburger SV,de Bundesliga,24,1993,0.6,3,3,1,1,1,0,0,0,0,3,3,0
968,Prince-Désir Gouano,fr FRA,DF,Amiens,fr Ligue 1,23,1993,30.5,42,29,32,8,2,58,47,11,49,91,191,6
969,Lemouya Goudiaby,sn SEN,DF,Metz,fr Ligue 1,20,1997,0.9,2,1,0,2,0,2,1,1,0,2,3,0
970,Amine Gouiri,fr FRA,FWMF,Lyon,fr Ligue 1,17,2000,0.9,1,1,1,0,0,0,0,0,2,3,0,0
971,Yoann Gourcuff,fr FRA,MFFW,Rennes,fr Ligue 1,31,1986,4.7,7,5,1,3,3,5,0,5,2,9,2,0
972,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,26,1991,26.5,57,44,36,18,3,36,10,26,54,111,128,0
973,Julio Gracia,es ESP,DFFW,Betis,es La Liga,19,1998,0.3,0,0,0,0,0,0,0,0,1,1,0,0
974,Max Gradel,ci CIV,FWMF,Toulouse,fr Ligue 1,29,1987,26.8,63,36,28,21,14,39,2,37,14,77,30,0
975,Samuel Grandsir,fr FRA,FWMF,Troyes,fr Ligue 1,20,1996,28.9,69,43,39,18,12,31,3,28,23,92,19,1
976,Álex Granell,es ESP,MF,Girona,es La Liga,28,1988,31.6,78,53,31,39,8,46,3,43,47,125,29,0
977,Esteban Granero,es ESP,MF,Espanyol,es La Liga,30,1987,13.7,32,22,15,13,4,19,0,19,19,51,21,0
978,Lee Grant,eng ENG,GK,Stoke City,eng Premier League,34,1983,3,1,1,1,0,0,0,0,0,0,1,0,0
979,Alberto Grassi,it ITA,MF,SPAL,it Serie A,22,1995,25,44,33,22,12,10,27,8,19,47,91,55,0
980,Andrew Gravillon,gp GLP,DF,Benevento,it Serie A,19,1998,0.9,2,1,2,0,0,1,1,0,3,5,10,0
