Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1567,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,26,1991,16,16,1440,16
1568,Iñigo Martínez,es ESP,DF,Real Sociedad,es La Liga,26,1991,12,12,1055,11.7
1569,Javi Martínez,es ESP,MFDF,Bayern Munich,de Bundesliga,28,1988,22,18,1609,17.9
1570,Pablo Martinez,fr FRA,DF,Strasbourg,fr Ligue 1,28,1989,24,24,2115,23.5
1571,Roger Martínez,co COL,FW,Villarreal,es La Liga,23,1994,8,2,230,2.6
1572,Christopher Martins,lu LUX,MF,Lyon,fr Ligue 1,20,1997,2,1,69,0.8
1573,Bruno Martins Indi,nl NED,DF,Stoke City,eng Premier League,25,1992,17,14,1243,13.8
1574,Jonathan Martins Pereira,fr FRA,DF,Guingamp,fr Ligue 1,31,1986,14,14,1135,12.6
1575,Adam Marušić,me MNE,DF,Lazio,it Serie A,24,1992,32,28,2523,28
1576,Omar Mascarell,es ESP,MF,Eint Frankfurt,de Bundesliga,24,1993,9,8,771,8.6
1577,Javier Mascherano,ar ARG,DF,Barcelona,es La Liga,33,1984,7,6,541,6
1578,Andrea Masiello,it ITA,DF,Atalanta,it Serie A,31,1986,31,30,2707,30.1
1579,Adam Masina,ma MAR,DF,Bologna,it Serie A,23,1994,34,33,2830,31.4
1580,Eden Massouema,cg CGO,MFFW,Dijon,fr Ligue 1,20,1997,6,2,189,2.1
1581,Arthur Masuaku,cd COD,DF,West Ham,eng Premier League,23,1993,27,21,1870,20.8
1582,Juan Mata,es ESP,FW,Manchester Utd,eng Premier League,29,1988,28,23,1922,21.4
1583,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,25,1992,24,24,2160,24
1584,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,28,1988,36,35,3118,34.6
1585,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,25,1991,25,22,1997,22.2
1586,Ryder Matos,br BRA,MF,Udinese,it Serie A,24,1993,4,1,170,1.9
1587,Ryder Matos,br BRA,FWMF,Hellas Verona,it Serie A,24,1993,14,11,978,10.9
1588,Alessandro Matri,it ITA,FW,Sassuolo,it Serie A,32,1984,23,7,914,10.2
1589,Ville Matti Steinmann,de GER,MF,Hamburger SV,de Bundesliga,22,1995,8,8,595,6.6
1590,Federico Mattiello,it ITA,DF,SPAL,it Serie A,22,1995,29,24,2204,24.5
1591,Blaise Matuidi,fr FRA,MF,Juventus,it Serie A,30,1987,32,27,2354,26.2
1592,Blaise Matuidi,fr FRA,MF,Paris S-G,fr Ligue 1,30,1987,2,0,28,0.3
1593,José Mauri,it ITA,MF,Milan,it Serie A,21,1996,1,0,13,0.1
1594,Maurício,br BRA,DF,Lazio,it Serie A,28,1988,1,0,5,0.1
1595,Mërgim Mavraj,al ALB,DF,Hamburger SV,de Bundesliga,31,1986,17,17,1445,16.1
1596,Konstantinos Mavropanos,gr GRE,DF,Arsenal,eng Premier League,19,1997,3,3,195,2.2
1597,Alfie Mawson,eng ENG,DF,Swansea City,eng Premier League,23,1994,38,38,3420,38
1598,Philipp Max,de GER,DF,Augsburg,de Bundesliga,23,1993,33,33,2959,32.9
1599,Alexandru Maxim,ro ROU,MF,Mainz 05,de Bundesliga,27,1990,22,11,957,10.6
1600,Eric Maxim Choupo-Moting,cm CMR,FWMF,Stoke City,eng Premier League,28,1989,30,26,2314,25.7
1601,Florian Mayer,de GER,DF,M'Gladbach,de Bundesliga,19,1998,1,0,19,0.2
1602,Borja Mayoral,es ESP,FWMF,Real Madrid,es La Liga,20,1997,14,3,345,3.8
1603,Róbert Mazáň,sk SVK,DF,Celta Vigo,es La Liga,23,1994,2,1,81,0.9
1604,Luca Mazzitelli,it ITA,MF,Sassuolo,it Serie A,21,1995,20,10,1017,11.3
1605,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,18,1998,27,24,2094,23.3
1606,Kylian Mbappé,fr FRA,FWMF,Monaco,fr Ligue 1,18,1998,1,1,74,0.8
1607,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,22,1994,25,18,1760,19.6
1608,Chancel Mbemba,cd COD,DF,Newcastle Utd,eng Premier League,22,1994,9,7,672,7.5
1609,Adama Mbengue,sn SEN,DF,Caen,fr Ligue 1,23,1993,19,18,1595,17.7
1610,Isaac Mbenza,be BEL,FWMF,Montpellier,fr Ligue 1,21,1996,38,22,2096,23.3
1611,Bryan Mbeumo,cm CMR,FWMF,Troyes,fr Ligue 1,17,1999,4,0,64,0.7
1612,Jordi Mboula,es ESP,MF,Monaco,fr Ligue 1,18,1999,3,0,31,0.3
1613,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,29,1987,33,27,2431,27
1614,Gareth McAuley,nir NIR,DF,West Brom,eng Premier League,37,1979,9,5,458,5.1
1615,Oliver McBurnie,sct SCO,FWMF,Swansea City,eng Premier League,21,1996,11,2,276,3.1
1616,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,27,1989,18,18,1620,18
1617,James McCarthy,ie IRL,MF,Everton,eng Premier League,26,1990,4,3,205,2.3
1618,James McClean,ie IRL,MFFW,West Brom,eng Premier League,28,1989,30,14,1406,15.6
1619,Weston McKennie,us USA,MF,Schalke 04,de Bundesliga,18,1998,22,13,1263,14
1620,Sam McQueen,eng ENG,DFMF,Southampton,eng Premier League,22,1995,7,1,148,1.6
1621,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,20,1996,13,7,634,7
1622,Iuri Medeiros,pt POR,FWMF,Genoa,it Serie A,23,1994,11,7,641,7.1
1623,Slobodan Medojević,rs SRB,MF,Eint Frankfurt,de Bundesliga,26,1990,1,0,29,0.3
1624,Álvaro Medrán,es ESP,MF,Alavés,es La Liga,23,1994,17,9,947,10.5
1625,Álvaro Medrán,es ESP,MF,Valencia,es La Liga,23,1994,1,1,72,0.8
1626,Ben Mee,eng ENG,DF,Burnley,eng Premier League,27,1989,29,29,2610,29
1627,Riccardo Meggiorini,it ITA,FW,Chievo,it Serie A,31,1985,15,10,786,8.7
1628,Admir Mehmedi,ch SUI,FWMF,Wolfsburg,de Bundesliga,26,1991,5,3,290,3.2
1629,Admir Mehmedi,ch SUI,DFMF,Leverkusen,de Bundesliga,26,1991,12,8,700,7.8
1630,Alexander Meier,de GER,FW,Eint Frankfurt,de Bundesliga,34,1983,1,0,4,0
1631,Soualiho Meïté,fr FRA,MF,Bordeaux,fr Ligue 1,23,1994,18,15,1335,14.8
1632,Soualiho Meïté,fr FRA,MF,Monaco,fr Ligue 1,23,1994,2,1,96,1.1
1633,Óscar Melendo,es ESP,MFFW,Espanyol,es La Liga,19,1997,18,6,686,7.6
1634,Memphis,nl NED,FW,Lyon,fr Ligue 1,23,1994,36,28,2555,28.4
1635,Ledian Memushaj,al ALB,MF,Benevento,it Serie A,30,1986,17,15,1258,14
1636,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,26,1990,34,32,2855,31.7
1637,Thiago Mendes,br BRA,MF,Lille,fr Ligue 1,25,1992,31,27,2294,25.5
1638,Brais Méndez,es ESP,MFFW,Celta Vigo,es La Liga,20,1997,20,12,948,10.5
1639,Stiven Mendoza,co COL,FWMF,Amiens,fr Ligue 1,25,1992,13,12,1032,11.5
1640,Alexandre Mendy,gw GNB,FW,Bordeaux,fr Ligue 1,23,1994,16,8,795,8.8
1641,Benjamin Mendy,fr FRA,DFFW,Manchester City,eng Premier League,23,1994,7,4,363,4
1642,Ferland Mendy,fr FRA,DF,Lyon,fr Ligue 1,22,1995,27,24,2122,23.6
1643,Nampalys Mendy,sn SEN,MF,Nice,fr Ligue 1,25,1992,14,11,965,10.7
1644,Hamza Mendyl,ma MAR,DFMF,Lille,fr Ligue 1,19,1997,12,9,851,9.5
1645,Gabriel Mercado,ar ARG,DF,Sevilla,es La Liga,30,1987,26,25,2118,23.5
1646,Jorge Meré,es ESP,DF,Köln,de Bundesliga,20,1997,22,21,1890,21
1647,Alex Meret,it ITA,GK,SPAL,it Serie A,20,1997,13,13,1158,12.9
1648,Mikel Merino,es ESP,MF,Newcastle Utd,eng Premier League,21,1996,24,14,1347,15
1649,Sabin Merino,es ESP,FWMF,Athletic Club,es La Liga,25,1992,13,4,374,4.2
1650,Dries Mertens,be BEL,FW,Napoli,it Serie A,30,1987,38,35,3002,33.4
1651,Per Mertesacker,de GER,DF,Arsenal,eng Premier League,32,1984,6,4,366,4.1
1652,Roque Mesa,es ESP,MF,Swansea City,eng Premier League,28,1989,11,9,754,8.4
1653,Roque Mesa,es ESP,MF,Sevilla,es La Liga,28,1989,7,4,343,3.8
1654,Lionel Messi,ar ARG,FW,Barcelona,es La Liga,30,1987,36,32,3000,33.3
1655,Thomas Meunier,be BEL,DF,Paris S-G,fr Ligue 1,25,1991,24,16,1578,17.5
1656,Mexer,mz MOZ,DF,Rennes,fr Ligue 1,28,1988,17,13,1201,13.3
1657,Max Meyer,de GER,MF,Schalke 04,de Bundesliga,21,1995,24,21,1727,19.2
1658,Senna Miangue,be BEL,DFFW,Cagliari,it Serie A,20,1997,11,8,805,8.9
1659,Michel,br BRA,DF,Las Palmas,es La Liga,27,1990,28,26,2130,23.7
1660,Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,25,1991,7,6,598,6.6
1661,Clément Michelin,fr FRA,DF,Toulouse,fr Ligue 1,20,1997,7,4,275,3.1
1662,Francesco Migliore,it ITA,DF,Genoa,it Serie A,29,1988,6,4,329,3.7
1663,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,29,1988,19,19,1710,19
1664,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,19,1997,16,14,1254,13.9
1665,Danijel Milićević,ba BIH,MFFW,Metz,fr Ligue 1,31,1986,12,8,712,7.9
1666,Arkadiusz Milik,pl POL,FWMF,Napoli,it Serie A,23,1994,15,3,448,5
1667,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,22,1995,35,33,2844,31.6
1668,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,20,1997,1,1,90,1
1669,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,26,1991,36,35,3080,34.2
1670,James Milner,eng ENG,MF,Liverpool,eng Premier League,31,1986,32,16,1775,19.7
1671,Santi Mina,es ESP,FW,Valencia,es La Liga,21,1995,32,17,1554,17.3
1672,Yerry Mina,co COL,DF,Barcelona,es La Liga,22,1994,5,4,371,4.1
1673,Tyrone Mings,eng ENG,DF,Bournemouth,eng Premier League,24,1993,4,3,201,2.2
1674,Ignasi Miquel,es ESP,DF,Málaga,es La Liga,24,1992,20,20,1773,19.7
1675,Kevin Mirallas,be BEL,FWMF,Everton,eng Premier League,29,1987,5,2,138,1.5
1676,Miranda,br BRA,DF,Inter,it Serie A,32,1984,31,31,2726,30.3
1677,Antonio Mirante,it ITA,GK,Bologna,it Serie A,34,1983,33,33,2970,33
1678,Simone Missiroli,it ITA,MF,Sassuolo,it Serie A,31,1986,35,33,2918,32.4
1679,Kostas Mitroglou,gr GRE,FW,Marseille,fr Ligue 1,29,1988,19,9,876,9.7
1680,Aleksandar Mitrović,rs SRB,FW,Newcastle Utd,eng Premier League,22,1994,6,0,95,1.1
