Player,Nation,Squad,score
Steven Fortes,CPV,Lens,43.52
Timothy Fosu-Mensah,NED,Leverkusen,13.94
Daam Foulon,BEL,Benevento,31.64
Juan Foyth,ARG,Villarreal,46.52
Gianluca Frabotta,ITA,Juventus,22.39
Ryan Fraser,SCO,Newcastle Utd,39.65
Jeremie Frimpong,NED,Leverkusen,40.35
Jorge de Frutos,ESP,Levante,58.21
Darnell Furlong,ENG,West Brom,86.21
Mijat Gaćinović,SRB,Hoffenheim,28.06
Adolfo Gaich,ARG,Benevento,22.87
Andrey Galabinov,BUL,Spezia,12.74
Conor Gallagher,ENG,West Brom,75.44
Ignatius Ganago,CMR,Lens,35.43
Aleix García,ESP,Eibar,14.67
Borja García,ESP,Huesca,35.99
Yann Gboho,FRA,Rennes,8.93
Christian Gebauer,AUT,Arminia,24.22
Willem Geubbels,FRA,Monaco,9.00
Niko Gießelmann,GER,Union Berlin,39.88
Álvaro Giménez,ESP,Cádiz,11.78
Robert Glatzel,GER,Mainz 05,11.86
Kamil Glik,POL,Benevento,100.00
Ben Godfrey,ENG,Everton,76.10
Diego Godín,URU,Cagliari,53.62
Amer Gojak,BIH,Torino,14.37
Vladimir Golemić,SVN,Crotone,73.87
Dani Gómez,ESP,Levante,41.35
Papu Gómez,ARG,Sevilla,39.42
Sergio Gómez,ESP,Huesca,25.52
Vagner Gonçalves,CPV,Metz,27.16
Bruno González,ESP,Valladolid,69.77
Diego González,ESP,Elche,51.78
Amine Gouiri,FRA,Nice,79.76
Lucas Gourna-Douath,FRA,Saint-Étienne,46.41
Jonathan Gradit,FRA,Lens,89.18
Karlan Grant,ENG,West Brom,32.59
Andrew Gravillon,GLP,Lorient,71.07
Demarai Gray,ENG,Leverkusen,13.88
Adrian Grbić,AUT,Lorient,22.05
Sebastian Griesbeck,GER,Union Berlin,27.25
Mattéo Guendouzi,FRA,Hertha BSC,61.61
Kelyan Guessoum,FRA,Nîmes,38.21
Lamine Gueye,SEN,Metz,28.52
Pape Gueye,SEN,Marseille,52.51
Frederic Guilbert,FRA,Strasbourg,57.95
Sehrou Guirassy,GUI,Rennes,39.69
Robert Gumny,POL,Augsburg,60.91
Jon Guridi,ESP,Real Sociedad,24.06
Raúl Guti,ESP,Elche,75.45
Marcos Mauro López Gutiérrez,ARG,Cádiz,53.58
Miguel Gutiérrez,ESP,Real Madrid,10.57
Emmanuel Gyasi,GHA,Spezia,88.31
Massadio Haïdara,MLI,Lens,47.92
Achraf Hakimi,MAR,Inter,75.74
Pierre-Yves Hamel,FRA,Lorient,25.43
Jack Harrison,ENG,Leeds United,75.40
Marcel Hartel,GER,Arminia,61.20
Kai Havertz,GER,Chelsea,45.79
Hwang Hee-chan,KOR,RB Leipzig,15.93
Jeff Hendrick,IRL,Newcastle Utd,47.65
Benjamin Henrichs,GER,RB Leipzig,30.91
Dalbert Henrique,BRA,Rennes,11.66
Eduardo Henrique,BRA,Crotone,28.52
Luis Henrique,BRA,Marseille,19.11
Christophe Hérelle,MTQ,Brest,52.16
Jérôme Hergault,FRA,Lorient,31.12
Pablo Hernández,ESP,Leeds United,12.79
Përparim Hetemaj,FIN,Benevento,68.20
Aaron Hickey,SCO,Bologna,55.09
Wesley Hoedt,NED,Lazio,29.75
Ki-Jana Hoever,NED,Wolves,12.97
Franck Honorat,FRA,Brest,81.85
Matthew Hoppe,USA,Schalke 04,39.91
Ajdin Hrustic,AUS,Eint Frankfurt,21.54
Klaas-Jan Huntelaar,NED,Schalke 04,18.23
Pierre Højbjerg,DEN,Tottenham,96.73
Iglesias,ESP,Getafe,19.75
Yun Il-lok,KOR,Montpellier,9.27
Ivan Ilić,SRB,Hellas Verona,68.53
Riccardo Improta,ITA,Benevento,71.84
Roberto Insigne,ITA,Benevento,49.52
Artur Ioniță,MDA,Benevento,85.77
Ardian Ismajli,ALB,Spezia,40.68
Branislav Ivanović,SRB,West Brom,23.09
Jairo Izquierdo,ESP,Cádiz,37.79
Phil Jagielka,ENG,Sheffield Utd,15.27
Saidy Janko,GAM,Valladolid,38.32
Jason,ESP,Valencia,13.32
Luis Javier Suárez,COL,Granada,69.23
Corentin Jean,FRA,Lens,16.56
Daniel Jebbison,ENG,Sheffield Utd,7.99
Marco John,GER,Hoffenheim,34.04
Curtis Jones,ENG,Liverpool,29.09
Jony,ESP,Osasuna,27.43
Josan,ESP,Elche,52.05
Willian José,BRA,Wolves,31.11
Josema,ESP,Elche,66.22
Jota,POR,Valladolid,20.51
Jota,ESP,Alavés,42.99
Diogo Jota,POR,Liverpool,47.08
Juanmi,ESP,Betis,38.94
Jens Jønsson,DEN,Cádiz,57.41
Ozan Kabak,TUR,Liverpool,22.70
Tino Kadewere,ZIM,Lyon,37.40
Gaël Kakuta,COD,Lens,59.00
Sasa Kalajdzic,AUT,Stuttgart,51.79
Arnaud Kalimuendo,FRA,Lens,46.46
Nikola Kalinić,CRO,Hellas Verona,21.57
Pierre Kalulu,FRA,Milan,41.41
Aboubakar Kamara,MTN,Dijon,15.44
Hassane Kamara,CIV,Nice,52.90
Atakan Karazor,GER,Stuttgart,47.68
Silas Katompa,COD,Stuttgart,33.66
Moise Kean,ITA,Paris S-G,53.02
Yannik Keitel,GER,Freiburg,16.03
Kenedy,BRA,Granada,46.28
Saîf-Eddine Khaoui,TUN,Marseille,17.00
Sami Khedira,GER,Hertha BSC,13.46
Luca Kilian,GER,Mainz 05,13.18
Max Kilman,ENG,Wolves,58.99
Philipp Klement,GER,Stuttgart,12.78
Mateusz Klich,POL,Leeds United,63.59
Mateo Klimowicz,GER,Stuttgart,27.88
Fabian Klos,GER,Arminia,73.06
Justin Kluivert,NED,RB Leipzig,28.25
Robin Knoche,GER,Union Berlin,97.74
Robin Koch,GER,Leeds United,38.51
Kenan Kodro,BIH,Valladolid,13.92
Dominik Kohr,GER,Mainz 05,48.31
Aleksandar Kolarov,SRB,Inter,11.81
Sead Kolašinac,BIH,Schalke 04,45.97
Randal Kolo Muani,FRA,Nantes,86.02
Moussa Konaté,SEN,Dijon,32.98
Geoffrey Kondogbia,CTA,Atlético Madrid,39.70
Moussa Koné,SEN,Nîmes,55.90
Boubakar Kouyaté,MLI,Metz,67.10
Filip Krovinović,CRO,West Brom,17.16
Max Kruse,GER,Union Berlin,45.44
Takefusa Kubo,JPN,Villarreal,8.74
Takefusa Kubo,JPN,Getafe,23.88
Dejan Kulusevski,SWE,Juventus,41.50
Marash Kumbulla,ALB,Roma,38.06
Fabian Kunze,GER,Arminia,45.92
Antonino La Gumina,ITA,Sampdoria,9.86
Tom Lacoux,FRA,Bordeaux,21.10
Maxence Lacroix,FRA,Wolfsburg,85.72
Adam Lallana,ENG,Brighton,47.64
Sam Lammers,NED,Atalanta,9.16
Gianluca Lapadula,PER,Benevento,76.57
Julien Laporte,FRA,Lorient,87.59
Kevin Lasagna,ITA,Hellas Verona,36.33
Armand Lauriente,FRA,Lorient,62.46
Valentino Lazaro,AUT,M'Gladbach,38.39
Jérémy Le Douaron,FRA,Brest,33.68
Enzo Le Fée,FRA,Lorient,63.03
Vincent Le Goff,FRA,Lorient,84.75
Florian Lejeune,FRA,Alavés,89.52
Mario Lemina,GAB,Fulham,54.09
Fabien Lemoine,FRA,Lorient,50.21
Jamal Lewis,NIR,Newcastle Utd,62.04
Aaron Leya Iseka,BEL,Metz,27.96
Dimitris Limnios,GRE,Köln,12.99
Karol Linetty,POL,Torino,40.55
Jesse Lingard,ENG,West Ham,41.11
Pol Lirola,ESP,Marseille,47.65
Diego Llorente,ESP,Leeds United,50.75
Fernando Llorente,ESP,Udinese,21.21
Ruben Loftus-Cheek,ENG,Fulham,58.93
Ademola Lookman,NGA,Fulham,85.22
Rony Lopes,POR,Nice,51.96
Maxime Lopez,FRA,Sassuolo,75.50
Pedro López Muñoz,ESP,Huesca,34.87
Roberto López,ESP,Real Sociedad,14.66
Jordan Lotomba,SUI,Nice,58.68
Matteo Lovato,ITA,Hellas Verona,42.72
Max Lowe,ENG,Sheffield Utd,15.99
Anthony Lozano,HON,Cádiz,45.92
Jean Lucas,BRA,Brest,32.65
Anderson Lucoqui,ANG,Arminia,57.87
Kilian Ludewig,GER,Schalke 04,16.82
Sebastiano Luperto,ITA,Crotone,59.00
Yvann Macon,FRA,Saint-Étienne,31.09
Pablo Maffeo,ESP,Huesca,62.70
Lisandro Magallán,ARG,Crotone,68.19
Christian Maggio,ITA,Benevento,9.34
Giulio Maggiore,ITA,Spezia,75.94
Giangiacomo Magnani,ITA,Hellas Verona,31.22
Hugo Magnetti,FRA,Brest,32.52
Arne Maier,GER,Arminia,37.38
Ainsley Maitland-Niles,ENG,West Brom,36.36
Josh Maja,NGA,Fulham,24.55
Jean-Victor Makengo,FRA,Udinese,43.35
Filip Malbašić,SRB,Cádiz,24.71
Mickael Malsa,MTQ,Levante,53.87
Dennis Man,ROU,Parma,21.04
Hianga Mananga Mbock,FRA,Brest,19.51
Rolando Mandragora,ITA,Torino,43.38
Juan Manuel Ramos,URU,Spezia,9.16
Maranhão,BRA,Valladolid,35.22
Fernando Marçal,BRA,Wolves,30.52
Riccardo Marchizza,ITA,Spezia,48.82
Iván Marcone,ARG,Elche,59.11
Dario Maresic,AUT,Reims,15.58
José Mari,ESP,Cádiz,27.30
Pablo Marí,ESP,Arsenal,26.47
Adrián Marín,ESP,Granada,8.79
Răzvan Marin,ROU,Cagliari,91.44
Luca Marrone,ITA,Crotone,50.94
Aarón Martín,ESP,Celta Vigo,45.99
Jonas Martin,FRA,Rennes,40.79
Javi Martínez,ESP,Osasuna,21.30
Lucas Martínez Quarta,ARG,Fiorentina,45.65
Roberto Massimo,GER,Stuttgart,25.56
Pape Matar Sarr,SEN,Metz,54.77
Eliot Matazo,BEL,Monaco,16.97
Chrislain Matsima,FRA,Monaco,11.45
Tony Mauricio,FRA,Lens,15.21
Stephy Mavididi,ENG,Montpellier,63.23
Konstantinos Mavropanos,GRE,Stuttgart,68.73
Eric Maxim Choupo-Moting,CMR,Bayern Munich,17.64
Borja Mayoral,ESP,Roma,46.44
Jean-Manuel Mbom,GER,Werder Bremen,36.29
Weston McKennie,USA,Juventus,47.85
Facundo Medina,ARG,Lens,71.74
Nathan de Medina,BEL,Arminia,25.55
Soualiho Meïté,FRA,Milan,17.89
Filippo Melegoni,ITA,Genoa,21.88
Birger Meling,NOR,Nîmes,78.80
Arthur Melo,BRA,Juventus,35.55
Houboulang Mendes,FRA,Lorient,70.05
Martín Merquelanz,ESP,Real Sociedad,15.84
Yıldırım Mert Çetin,TUR,Hellas Verona,12.91
Roque Mesa,ESP,Valladolid,55.91
Junior Messias,BRA,Crotone,98.09
Thomas Meunier,BEL,Dortmund,49.03
Max Meyer,GER,Köln,13.03
Omenuke Mfulu,COD,Elche,26.56
Clément Michelin,FRA,Lens,34.12
Valentin Mihaila,ROU,Parma,20.43
Arkadiusz Milik,POL,Marseille,35.72
Luis Milla,ESP,Granada,66.21
Pere Milla,ESP,Elche,59.05
Takumi Minamino,JPN,Southampton,19.42
Takumi Minamino,JPN,Liverpool,7.97
Óscar Mingueza,ESP,Barcelona,43.95
Rafa Mir,ESP,Huesca,87.04
Aleksei Miranchuk,RUS,Atalanta,23.12
Juan Miranda,ESP,Betis,37.53
Tyrick Mitchell,ENG,Crystal Palace,69.24
Jakub Moder,POL,Brighton,34.32
Anthony Modeste,FRA,Saint-Étienne,8.25
Terem Moffi,NGA,Lorient,69.91
Johan Mojica,COL,Atalanta,9.88
Johan Mojica,COL,Elche,69.17
Jorge Molina,ESP,Granada,55.97
Nahuel Molina,ARG,Udinese,68.21
Salvatore Molina,ITA,Crotone,71.58
Gabriele Moncini,ITA,Benevento,10.75
Thomas Monconduit,FRA,Lorient,53.77
Álvaro Morata,ESP,Juventus,65.85
Jon Morcillo,ESP,Athletic Club,42.06
Jérémy Morel,MAD,Lorient,48.61
Tete Morente,ESP,Elche,59.85
Mateu Morey,ESP,Dortmund,28.70
Ilaix Moriba,GUI,Barcelona,16.68
Pedro Mosquera,ESP,Huesca,66.89
Aimen Moueffek,FRA,Saint-Étienne,17.45
Youssoufa Moukoko,GER,Dortmund,13.13
Steve Mounié,BEN,Brest,74.86
Vedat Muriqi,KVX,Lazio,24.03
Nicola Murru,ITA,Torino,17.31
Petar Musa,CRO,Union Berlin,21.87
Yunus Musah,USA,Valencia,42.00
Jamal Musiala,GER,Bayern Munich,35.69
Shkodran Mustafi,GER,Schalke 04,33.66
Yoshinori Mutō,JPN,Eibar,34.89
Joakim Mæhle,DEN,Atalanta,43.25
Yuto Nagatomo,JPN,Marseille,45.19
Papa Ndiaga Yade,SEN,Metz,24.10
Dan Ndoye,SUI,Nice,15.85
Álvaro Negredo,ESP,Cádiz,62.12
Luca Netz,GER,Hertha BSC,10.48
Yvan Neyou,CMR,Saint-Étienne,50.49
Jessic Ngankam,GER,Hertha BSC,9.49
Joakim Nilsson,SWE,Arminia,89.63
Nino,ESP,Elche,9.58
Fernando Niño,ESP,Villarreal,16.70
M'Bala Nzola,ANG,Spezia,45.13
Dara O'Shea,IRL,West Brom,62.35
Shinji Okazaki,JPN,Huesca,34.23
Masaya Okugawa,JPN,Arminia,59.95
Lucas Olaza,URU,Valladolid,39.84
Josh Onomah,ENG,Fulham,11.89
Javier Ontiveros,ESP,Huesca,29.54
Fabián Orellana,CHI,Valladolid,66.04
Victor Osimhen,NGA,Napoli,49.22
Yordan Osorio,VEN,Parma,56.71
Adam Ounas,ALG,Crotone,36.85
Adam Ounas,ALG,Cagliari,9.55
Thomas Ouwejan,NED,Udinese,12.67
Gonçalo Paciência,POR,Schalke 04,22.98
Exequiel Palacios,ARG,Leverkusen,27.91
Helibelton Palacios,COL,Elche,44.75
Jonathan Panzo,ENG,Dijon,53.07
Lucas Paquetá,BRA,Lyon,77.94
Daniel Parejo,ESP,Villarreal,90.54
Thomas Partey,GHA,Arsenal,52.08
Felix Passlack,GER,Dortmund,14.28
Nehuén Paz,ARG,Bologna,11.61
Mads Pedersen,DEN,Augsburg,37.69
Pedri,ESP,Barcelona,50.30
Pedro,ESP,Roma,48.96
Graziano Pellè,ITA,Parma,18.21
Luca Pellegrini,ITA,Genoa,20.49
Facundo Pellistri,URU,Alavés,18.33
Timothee Pembele,FRA,Paris S-G,13.11
Alberto Perea,ESP,Cádiz,34.67
Andreas Pereira,BRA,Lazio,16.11
Danilo Pereira,POR,Paris S-G,60.29
Matheus Pereira,POR,West Brom,76.98
Pedro Pereira,POR,Crotone,77.38
Roberto Pereyra,ARG,Udinese,72.17
Kike Pérez,ESP,Valladolid,36.56
Luis Pérez,ESP,Valladolid,40.58
Nehuén Pérez,ARG,Granada,23.55
Matteo Pessina,ITA,Atalanta,49.54
Andrea Petagna,ITA,Napoli,21.55
Jacopo Petriccione,ITA,Crotone,30.09
Jens Petter Hauge,NOR,Milan,15.77
Maximilian Philipp,GER,Wolfsburg,33.29
Romain Philippoteaux,FRA,Brest,17.66
Kalvin Phillips,ENG,Leeds United,57.84
Nathaniel Phillips,ENG,Liverpool,41.21
Pablo Piatti,ARG,Elche,11.11
Roberto Piccoli,ITA,Spezia,20.64
Amos Pieper,GER,Arminia,93.59
Ronaël Pierre-Gabriel,FRA,Brest,76.98
Yeremi Pino,ESP,Villarreal,35.48
Marko Pjaca,CRO,Genoa,45.02
Miralem Pjanić,BIH,Barcelona,20.87
Tommaso Pobega,ITA,Spezia,37.12
Joel Pohjanpalo,FIN,Union Berlin,25.96
Jorge Pombo,ESP,Cádiz,15.56
Alejandro Pozo Pozo,ESP,Eibar,71.20
Manuel Prietl,AUT,Arminia,83.51
Domingos Quina,POR,Granada,10.92
Uroš Račić,SRB,Valencia,52.59
Nemanja Radonjić,SRB,Hertha BSC,19.97
Rafinha,BRA,Paris S-G,47.86
Ivan Rakitić,CRO,Sevilla,66.25
Jonás Ramalho,ESP,Osasuna,9.75
Sandro Ramírez,ESP,Huesca,39.68
Jacob Ramsey,ENG,Aston Villa,44.46
Raphinha,BRA,Leeds United,72.94
Giacomo Raspadori,ITA,Sassuolo,56.70
Arkadiusz Reca,POL,Crotone,70.93
Recio,ESP,Eibar,24.43
Harrison Reed,ENG,Fulham,73.03
Sergio Reguilón,ESP,Tottenham,57.93
Bobby Reid,JAM,Fulham,72.59
Jeff Reine-Adélaïde,FRA,Nice,31.61
Karim Rekik,NED,Sevilla,26.24
Panagiotis Retsos,GRE,Saint-Étienne,8.37
Bryan Reynolds,USA,Roma,8.94
Matteo Ricci,ITA,Spezia,71.72
Chris Richards,USA,Hoffenheim,39.89
Mikel Rico,ESP,Huesca,68.82
Emiliano Rigoni,ARG,Elche,37.40
Andrea Rispoli,ITA,Crotone,20.11
Emmanuel Rivière,FRA,Crotone,19.12
Tyler Roberts,WAL,Leeds United,31.87
Antonee Robinson,USA,Fulham,68.59
Callum Robinson,IRL,West Brom,45.51
Joe Rodon,WAL,Tottenham,20.74
Rodrigo,ESP,Leeds United,49.32
Rodrigo,ESP,Betis,21.84
Kévin Rodrigues,POR,Eibar,35.33
Óscar Rodríguez Arnaiz,ESP,Sevilla,13.55
James Rodríguez,COL,Everton,58.63
Ricardo Rodríguez,SUI,Torino,57.18
Víctor Rodríguez,ESP,Elche,15.19
Cristian Romero,ARG,Atalanta,81.29
Nicolò Rovella,ITA,Genoa,44.28
Amir Rrahmani,KVX,Napoli,60.85
Daniele Rugani,ITA,Cagliari,31.67
Aitor Ruibal,ESP,Betis,36.65
Víctor Ruiz,ESP,Betis,55.93
Modibo Sagnan,FRA,Real Sociedad,18.68
Jacopo Sala,ITA,Spezia,19.84
William Saliba,FRA,Nice,56.36
Mohammed Salisu,GHA,Southampton,54.00
Salvi,ESP,Cádiz,48.28
Antonio Sanabria,PAR,Torino,40.09
Manuel Sánchez,ESP,Osasuna,52.22
Juan Sánchez Miño,ARG,Elche,16.98
Leroy Sané,GER,Bayern Munich,57.10
Morgan Sanson,FRA,Aston Villa,9.44
Baptiste Santamaria,FRA,Freiburg,71.43
Riccardo Saponara,ITA,Spezia,11.80
Ivan Šaponjić,SRB,Cádiz,11.32
Bouna Sarr,SEN,Bayern Munich,14.59
Marco Sau,ITA,Benevento,23.94
Romaine Sawyers,SKN,West Brom,45.26
Gianluca Scamacca,ITA,Genoa,42.02
Aurélien Scheidler,FRA,Dijon,9.43
Pasquale Schiattarella,ITA,Benevento,71.72
Patrik Schick,CZE,Leverkusen,59.06
Sven Schipplock,GER,Arminia,26.06
Nico Schlotterbeck,GER,Union Berlin,41.96
Romano Schmid,AUT,Werder Bremen,37.36
Morgan Schneiderlin,FRA,Nice,43.79
Nélson Semedo,POR,Wolves,75.50
Léo Sena,BRA,Spezia,28.41
Jaime Seoane,ESP,Huesca,65.23
Jean Seri,CIV,Bordeaux,21.87
Ryan Sessegnon,ENG,Hoffenheim,54.15
Nils Seufert,GER,Arminia,12.80
Jamie Shackleton,ENG,Leeds United,16.77
Eldor Shomurodov,UZB,Genoa,52.31
Kaj Sierhuis,NED,Reims,18.29
Adrien Silva,POR,Sampdoria,41.29
Caio Henrique Oliveira Silva,BRA,Monaco,78.99
David Silva,ESP,Real Sociedad,46.53
Fábio Silva,POR,Wolves,26.94
Gastón Silva,URU,Huesca,19.60
Thiago Silva,BRA,Chelsea,69.52
Wilfried Singo,CIV,Torino,67.57
Dimitris Siovas,GRE,Huesca,100.00
Nelson Sissoko,FRA,Saint-Étienne,14.14
Islam Slimani,ALG,Lyon,18.46
Emile Smith Rowe,ENG,Arsenal,47.50
Robert Snodgrass,SCO,West Brom,15.47
Cédric Soares,POR,Arsenal,32.48
Rubén Sobrino,ESP,Cádiz,43.44
Simon Sohm,SUI,Parma,27.36
Augusto Solari,ARG,Celta Vigo,17.77
Son,ESP,Levante,47.09
Brandon Soppy,FRA,Rennes,17.27
Alberto Soro,ESP,Granada,15.55
Florian Sotoca,FRA,Lens,70.96
Riccardo Sottil,ITA,Cagliari,36.28
Cebio Soukou,BEN,Arminia,16.38
Adama Soumaoro,FRA,Bologna,62.42
Saidou Sow,GUI,Saint-Étienne,29.91
Pascal Stenzel,GER,Stuttgart,36.70
Kevin Stöger,AUT,Mainz 05,16.67
Tobias Strobl,GER,Augsburg,36.32
Kevin Strootman,NED,Genoa,43.54
Pascal Struijk,NED,Leeds United,59.71
Stefano Sturaro,ITA,Hellas Verona,12.98
Luis Suárez,URU,Atlético Madrid,64.73
Issiaga Sylla,GUI,Lens,33.27
Alexander Sørloth,NOR,RB Leipzig,50.35
Tachi,ESP,Alavés,26.47
Adrien Tameze,CMR,Hellas Verona,75.42
Renato Tapia,PER,Celta Vigo,62.05
Warren Tchimbembé,CGO,Metz,14.54
Aurélien Tchouaméni,FRA,Monaco,95.24
Nathan Tella,ENG,Southampton,20.66
Alex Telles,BRA,Manchester Utd,34.10
Andrés Tello,COL,Benevento,12.89
Lino Tempelmann,GER,Freiburg,8.94
Martin Terrier,FRA,Rennes,75.78
Claudio Terzi,ITA,Spezia,59.76
Kenny Tete,NED,Fulham,46.92
Cedric Teuchert,GER,Union Berlin,23.11
Malick Thiaw,GER,Schalke 04,47.07
Jean-Clair Todibo,FRA,Nice,69.20
Fikayo Tomori,ENG,Milan,64.95
Sandro Tonali,ITA,Milan,60.09
Lucas Torreira,URU,Atlético Madrid,16.64
Ferrán Torres,ESP,Manchester City,23.14
Lucas Torró,ESP,Osasuna,68.54
Lucas Tousart,FRA,Hertha BSC,66.46
Conor Townsend,ENG,West Brom,67.76
Amadou Traore,FRA,Bordeaux,8.76
Bertrand Traoré,BFA,Aston Villa,65.27
Francisco Trincão,POR,Barcelona,21.04
Alessandro Tripaldelli,ITA,Cagliari,9.29
Adrien Truffert,FRA,Rennes,54.96
Axel Tuanzebe,ENG,Manchester Utd,11.79
Alessandro Tuia,ITA,Benevento,55.06
Tuta,BRA,Eint Frankfurt,62.99
Naomichi Ueda,JPN,Nîmes,23.86
Enes Ünal,TUR,Getafe,61.22
Cengiz Ünder,TUR,Leicester City,7.93
Lautaro Valenti,ARG,Parma,15.66
Borja Valero,ESP,Fiorentina,15.37
Denis Vavro,SVK,Huesca,19.63
Joël Veltman,NED,Brighton,77.61
Unai Vencedor Paris,ESP,Athletic Club,65.20
Daniele Verde,ITA,Spezia,44.56
Gonzalo Verdú,ESP,Elche,73.61
Arturo Vidal,CHI,Inter,27.49
Luca Vignali,ITA,Spezia,50.56
Emanuel Vignato,ITA,Bologna,28.26
Carlos Vinícius,BRA,Tottenham,8.05
Vitinha,POR,Wolves,15.66
Michel Vlap,NED,Arminia,13.24
Andreas Voglsammer,GER,Arminia,35.19
Mërgim Vojvoda,KVX,Torino,50.95
Kevin Volland,GER,Monaco,76.86
Miloš Vulić,SRB,Crotone,40.20
Theo Walcott,ENG,Southampton,26.88
Ollie Watkins,ENG,Aston Villa,85.96
Timothy Weah,USA,Lille,34.79
Shon Weissman,ISR,Valladolid,63.95
Danny Welbeck,ENG,Brighton,42.55
Timo Werner,GER,Chelsea,52.24
Ben White,ENG,Brighton,95.25
William,BRA,Schalke 04,15.03
Rhys Williams,ENG,Liverpool,18.78
Willian,BRA,Arsenal,40.09
Joe Willock,ENG,Newcastle Utd,49.88
Callum Wilson,ENG,Newcastle Utd,58.00
Yoane Wissa,COD,Lorient,80.71
Hannes Wolf,AUT,M'Gladbach,25.91
Marius Wolf,GER,Köln,89.07
Jeong Woo-yeong,KOR,Freiburg,41.52
Reinhold Yabo,GER,Arminia,22.87
Jawad El Yamiq,MAR,Valladolid,43.42
Burak Yılmaz,TUR,Lille,58.15
Okay Yokuşlu,TUR,West Brom,39.64
Amin Younes,GER,Eint Frankfurt,46.68
Miha Zajc,SVN,Genoa,60.90
Niccolò Zanellato,ITA,Crotone,50.67
Gabriele Zappa,ITA,Cagliari,55.93
Davide Zappacosta,ITA,Genoa,66.48
Deyovaisio Zeefuik,NED,Hertha BSC,24.51
Mehdi Zerkane,ALG,Bordeaux,35.28
Hakim Ziyech,MAR,Chelsea,34.85
Steven Zuber,SUI,Eint Frankfurt,19.94
Martin Ødegaard,NOR,Arsenal,52.63
Salis Abdul Samed,GHA,Clermont Foot,75.29
Luis Abram,PER,Granada,18.29
Tammy Abraham,ENG,Roma,90.56
Martin Adeline,FRA,Reims,10.27
Amine Adli,FRA,Leverkusen,39.57
Michel Aebischer,SUI,Bologna,13.94
Felix Afena-Gyan,GHA,Roma,20.02
Lucien Agoume,FRA,Brest,58.97
Anel Ahmedhodzic,BIH,Bordeaux,41.33
Kristoffer Ajer,NOR,Brentford,59.50
David Alaba,AUT,Real Madrid,86.46
Tomás Alarcón,CHI,Cádiz,42.44
Rubén Alcaraz,ESP,Cádiz,34.41
Omar Alderete,PAR,Valencia,72.83
Bryan Mbeumo,CMR,Brentford,83.80
Dele Alli,ENG,Everton,10.93
Giorgio Altare,ITA,Cagliari,46.11
Ivan Toney,ENG,Brentford,81.23
Dani Alves,BRA,Barcelona,34.84
Ibrahim Amadou,FRA,Metz,24.04
Amath,SEN,Mallorca,27.07
Jordan Amavi,FRA,Nice,12.87
Kelvin Amian,FRA,Spezia,80.67
Nadiem Amiri,GER,Genoa,21.85
Ethan Ampadu,WAL,Venezia,72.34
Joachim Andersen,DEN,Crystal Palace,87.54
Andrea Pinamonti,ITA,Empoli,78.88
Andrés Andrade Cedeño,PAN,Arminia,38.08
Fredrik André Bjørkan,NOR,Hertha BSC,11.86
Robert Andrich,GER,Leverkusen,58.65
José Ángel,ESP,Osasuna,35.99
Christopher Antwi-Adjei,GHA,Bochum,37.18
Mattia Aramu,ITA,Venezia,64.91
Santiago Arias,COL,Granada,14.44
Francesco Caputo,ITA,Sampdoria,78.33
Santiago Arzamendia,PAR,Cádiz,13.87
Takuma Asano,JPN,Bochum,52.83
Branimir Hrgota,SWE,Greuther Fürth,100.00
Kristoffer Askildsen,NOR,Sampdoria,21.96
Kristjan Asllani,ALB,Empoli,40.44
Lorenz Assignon,TOG,Rennes,18.75
Simon Asta,GER,Greuther Fürth,30.38
Ludwig Augustinsson,SWE,Sevilla,23.43
Serge Aurier,CIV,Villarreal,30.86
Gaëtan Laborde,FRA,Rennes,78.29
Sardar Azmoun,IRN,Leverkusen,11.17
Loïc Bade,FRA,Rennes,30.71
Marko Arnautović,AUT,Bologna,77.75
Leon Bailey,JAM,Aston Villa,21.32
Nedim Bajrami,ALB,Empoli,59.51
Abdoulaye Bakayoko,FRA,Saint-Étienne,9.02
Mitchel Bakker,NED,Leverkusen,59.77
Giovanni Simeone,ARG,Hellas Verona,75.87
Iván Balliu,ALB,Rayo Vallecano,97.12
Fodé Ballo-Touré,SEN,Milan,13.85
Filippo Bandinelli,ITA,Empoli,56.35
Shandon Baptiste,GRN,Brentford,27.06
Melvin Bard,FRA,Nice,78.95
Keidi Bare,ALB,Espanyol,44.81
Daniele Baselli,ITA,Cagliari,9.21
Toma Bašić,CRO,Lazio,29.35
Rodrigo Battaglia,ARG,Mallorca,37.30
Maximilian Bauer,GER,Greuther Fürth,66.35
Timo Baumgartl,GER,Union Berlin,69.59
Mads Bech Sørensen,DEN,Brentford,25.65
Donny van de Beek,NED,Everton,15.88
Youcef Belaïli,ALG,Brest,25.44
Edin Džeko,BIH,Inter,65.62
Armel Bella Kotchap,GER,Bochum,60.15
Raoul Bellanova,ITA,Cagliari,76.76
Héctor Bellerín,ESP,Betis,60.57
George Bello,USA,Arminia,15.74
Cristiano Ronaldo,POR,Manchester Utd,64.94
Hatem Ben Arfa,FRA,Lille,9.08
Andy Delort,ALG,Nice,69.62
Marco Benassi,ITA,Empoli,11.13
Darío Benedetto,ARG,Elche,18.93
Mohamed Lamine Bayo,GUI,Clermont Foot,65.28
Nabil Bentaleb,ALG,Angers,47.44
Rodrigo Bentancur,URU,Tottenham,39.55
Kévin Gameiro,FRA,Strasbourg,71.25
