Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
631,Ángel Di María,ar ARG,FWMF,Paris S-G,fr Ligue 1,30,1988,30,28,2324,25.8
632,Franco Di Santo,ar ARG,FW,Rayo Vallecano,es La Liga,29,1989,6,1,172,1.9
633,Franco Di Santo,ar ARG,MFFW,Schalke 04,de Bundesliga,29,1989,4,3,245,2.7
634,Boulaye Dia,sn SEN,FW,Reims,fr Ligue 1,21,1996,18,8,747,8.3
635,Fousseni Diabaté,ml MLI,FW,Leicester City,eng Premier League,22,1995,1,1,54,0.6
636,Moussa Diaby,fr FRA,MFDF,Paris S-G,fr Ligue 1,19,1999,25,10,1141,12.7
637,Adama Diakhaby,fr FRA,FWMF,Huddersfield,eng Premier League,22,1996,12,6,552,6.1
638,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,21,1996,22,16,1580,17.6
639,Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,17,2001,9,7,633,7
640,Abdou Diallo,sn SEN,DF,Dortmund,de Bundesliga,22,1996,28,27,2379,26.4
641,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5
642,Mustapha Diallo,sn SEN,MF,Nîmes,fr Ligue 1,32,1986,7,6,455,5.1
643,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,31,1987,29,24,2166,24.1
644,Grady Diangana,eng ENG,MFFW,West Ham,eng Premier League,20,1998,17,6,609,6.8
645,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,33,1985,3,2,159,1.8
646,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,21,1997,13,8,661,7.3
647,Brahim Díaz,es ESP,FW,Real Madrid,es La Liga,18,1999,9,5,376,4.2
648,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1
649,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,28,1989,34,32,2942,32.7
650,Lorenzo Dickmann,it ITA,DFMF,SPAL,it Serie A,21,1996,6,2,175,1.9
651,Daniel Didavi,de GER,FWMF,Stuttgart,de Bundesliga,28,1990,20,8,956,10.6
652,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,35,1983,31,23,2105,23.4
653,Adrián Diéguez,es ESP,DF,Huesca,es La Liga,22,1996,9,8,749,8.3
654,Eric Dier,eng ENG,MFDF,Tottenham,eng Premier League,24,1994,20,18,1506,16.7
655,Tim Dierßen,de GER,MF,Hannover 96,de Bundesliga,22,1996,1,0,16,0.2
656,Lucas Digne,fr FRA,DF,Everton,eng Premier League,25,1993,35,33,2965,32.9
657,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,25,1993,25,23,2023,22.5
658,Javairô Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,20,1998,17,7,898,10
659,Federico Dimarco,it ITA,DFMF,Parma,it Serie A,20,1997,13,10,892,9.9
660,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,21,1890,21
661,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,27,1991,20,17,1344,14.9
662,Ismaël Diomandé,ci CIV,MFDF,Caen,fr Ligue 1,25,1992,18,14,1293,14.4
663,Federico Dionisi,it ITA,FWMF,Frosinone,it Serie A,31,1987,9,1,204,2.3
664,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,25,1992,30,19,1591,17.7
665,Issa Diop,fr FRA,DF,West Ham,eng Premier League,21,1997,33,33,2970,33
666,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,32,1986,28,27,2352,26.1
667,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,18,2000,13,9,741,8.2
668,Assane Dioussé,sn SEN,MF,Chievo,it Serie A,20,1997,14,9,892,9.9
669,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,20,1997,7,2,217,2.4
670,Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,20,1998,4,1,159,1.8
671,Djené,tg TOG,DF,Getafe,es La Liga,26,1991,34,34,2976,33.1
672,Koffi Djidji,ci CIV,DF,Torino,it Serie A,25,1992,17,16,1387,15.4
673,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,25,1992,1,1,90,1
674,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,23,1994,31,31,2754,30.6
675,Papy Djilobodji,sn SEN,DF,Guingamp,fr Ligue 1,29,1988,4,2,175,1.9
676,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,25,1993,24,20,1807,20.1
677,Johan Djourou,ch SUI,DF,SPAL,it Serie A,31,1987,5,3,279,3.1
678,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,1992,24,24,2160,24
679,Matt Doherty,ie IRL,DFMF,Wolves,eng Premier League,26,1992,38,35,3144,34.9
680,Keagan Dolly,za RSA,FW,Montpellier,fr Ligue 1,25,1993,3,2,88,1
681,Jaume Doménech,es ESP,GK,Valencia,es La Liga,27,1990,4,4,360,4
682,Giulio Donati,it ITA,DF,Mainz 05,de Bundesliga,28,1990,9,6,625,6.9
683,Ji Dong-won,kr KOR,MFFW,Augsburg,de Bundesliga,27,1991,14,10,891,9.9
684,Anastasios Donis,gr GRE,FWMF,Stuttgart,de Bundesliga,21,1996,24,11,962,10.7
685,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,36,36,3090,34.3
686,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,22,1996,6,1,153,1.7
687,Riccardo Doratiotto,it ITA,FW,Cagliari,it Serie A,19,1999,1,1,78,0.9
688,Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,20,1997,14,11,1066,11.8
689,Mathieu Dossevi,tg TOG,FWMF,Toulouse,fr Ligue 1,30,1988,35,30,2469,27.4
690,Abdoulaye Doucouré,ml MLI,MF,Watford,eng Premier League,25,1993,35,34,3062,34
691,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,25,1992,9,3,318,3.5
692,Moussa Doumbia,ml MLI,FWMF,Reims,fr Ligue 1,23,1994,28,18,1600,17.8
693,Seydou Doumbia,ci CIV,FW,Girona,es La Liga,30,1987,17,5,541,6
694,Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,21,1996,7,7,605,6.7
695,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,27,1991,18,13,1335,14.8
696,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,20,1997,3,2,225,2.5
697,Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,20,1997,14,14,1260,14
698,Julian Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,24,1993,31,22,2046,22.7
699,Luke Dreher,eng ENG,FW,Crystal Palace,eng Premier League,19,1998,1,0,1,0
700,Josip Drmić,ch SUI,FW,M'Gladbach,de Bundesliga,25,1992,5,2,222,2.5
701,Jaroslav Drobný,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,2,180,2
702,Óscar Duarte,cr CRC,DFMF,Espanyol,es La Liga,29,1989,11,7,660,7.3
703,Rubén Duarte,es ESP,DF,Alavés,es La Liga,22,1995,33,33,2772,30.8
704,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,23,1994,25,21,2044,22.7
705,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,3420,38
706,Marvin Ducksch,de GER,FW,Düsseldorf,de Bundesliga,24,1994,16,8,823,9.1
707,Ondrej Duda,sk SVK,MF,Hertha BSC,de Bundesliga,23,1994,32,30,2563,28.5
708,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,26,1992,35,35,3087,34.3
709,Demeaco Duhaney,eng ENG,DF,Huddersfield,eng Premier League,19,1998,1,1,45,0.5
710,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,26,1991,26,21,1990,22.1
711,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,25,1993,26,21,1848,20.5
712,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,26,1991,36,36,3151,35
713,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,940,10.4
714,Erik Durm,de GER,DF,Huddersfield,eng Premier League,26,1992,28,21,2055,22.8
715,Jimmy Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,29,1989,36,21,1899,21.1
716,Riza Durmisi,dk DEN,DF,Lazio,it Serie A,24,1994,10,2,326,3.6
717,Hugo Duro,es ESP,MFFW,Getafe,es La Liga,18,1999,11,5,417,4.6
718,Raphael Dwamena,gh GHA,FW,Levante,es La Liga,22,1995,12,1,222,2.5
719,Paulo Dybala,ar ARG,FWMF,Juventus,it Serie A,24,1993,30,24,2137,23.7
720,Edin Džeko,ba BIH,FW,Roma,it Serie A,32,1986,33,28,2579,28.7
721,Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,32,1986,28,20,1750,19.4
722,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,21,1997,27,27,2426,27
723,Dennis Eckert,de GER,FW,Celta Vigo,es La Liga,21,1997,9,1,216,2.4
724,Bruno Ecuele Manga,ga GAB,DF,Cardiff City,eng Premier League,30,1988,38,37,3376,37.5
725,Simone Edera,it ITA,MF,Torino,it Serie A,21,1997,3,1,77,0.9
726,Simone Edera,it ITA,FW,Bologna,it Serie A,21,1997,4,3,196,2.2
727,Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,3420,38
728,Johannes Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,20,1998,23,12,1113,12.4
729,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,21,1996,34,34,3052,33.9
730,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,29,1989,32,30,2646,29.4
731,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,24,1994,10,7,646,7.2
732,Harvey Elliott,eng ENG,MF,Fulham,eng Premier League,15,2003,2,0,20,0.2
733,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,26,1992,8,5,380,4.2
734,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,24,1994,27,24,2254,25
735,Gorka Elustondo,es ESP,MFDF,Rayo Vallecano,es La Liga,31,1987,5,3,285,3.2
736,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,21,1996,30,30,2623,29.1
737,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,24,1993,5,5,430,4.8
738,Mohamed Elyounoussi,no NOR,MF,Southampton,eng Premier League,23,1994,16,8,793,8.8
739,Adri Embarba,es ESP,MFFW,Rayo Vallecano,es La Liga,26,1992,36,27,2282,25.4
740,Breel Embolo,ch SUI,FW,Schalke 04,de Bundesliga,21,1997,20,15,1345,14.9
741,Emerson,br BRA,FWDF,Betis,es La Liga,19,1999,6,4,317,3.5
742,Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,21,1997,31,22,2106,23.4
743,Björn Engels,be BEL,DF,Reims,fr Ligue 1,23,1994,33,33,2970,33
744,Sergi Enrich,es ESP,FW,Eibar,es La Liga,28,1990,35,30,2582,28.7
745,Javier Eraso,es ESP,MFFW,Leganés,es La Liga,28,1990,13,9,631,7
746,Christian Eriksen,dk DEN,MF,Tottenham,eng Premier League,26,1992,35,30,2774,30.8
747,Patrick Erras,de GER,MF,Nürnberg,de Bundesliga,23,1995,19,13,1222,13.6
748,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,25,1993,32,18,1789,19.9
749,Sergio Escudero,es ESP,DFFW,Sevilla,es La Liga,28,1989,21,18,1545,17.2
750,Bernardo Espinosa,co COL,DF,Girona,es La Liga,29,1989,31,31,2727,30.3
751,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,32
752,Alexander Esswein,de GER,MFFW,Stuttgart,de Bundesliga,28,1990,17,15,1251,13.9
753,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,38
754,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,31,1987,27,25,2031,22.6
755,Xabier Etxeita,es ESP,DF,Huesca,es La Liga,30,1987,31,30,2677,29.7
756,Lucas Evangelista,br BRA,FWMF,Nantes,fr Ligue 1,23,1995,14,9,720,8
757,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,30,1988,24,21,1996,22.2
758,Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,1989,18,15,1341,14.9
759,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,26,1992,8,4,358,4
760,Valentin Eysseric,fr FRA,MFFW,Nantes,fr Ligue 1,26,1992,5,3,209,2.3
761,Marco Fabián,mx MEX,FW,Eint Frankfurt,de Bundesliga,29,1989,1,1,62,0.7
762,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,38
763,Fabinho,br BRA,MF,Liverpool,eng Premier League,24,1993,28,21,2017,22.4
764,Fábio,br BRA,DFFW,Nantes,fr Ligue 1,28,1990,20,15,1276,14.2
765,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,31,1987,6,1,180,2
766,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,31,1987,13,12,966,10.7
767,Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,2
768,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1470,16.3
769,Romain Faivre,fr FRA,MF,Monaco,fr Ligue 1,20,1998,1,1,90,1
770,Fayçal Fajr,ma MAR,MF,Caen,fr Ligue 1,29,1988,36,36,3240,36
771,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,32,1986,33,29,2557,28.4
772,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,27,1991,16,8,703,7.8
773,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,26,1992,7,7,600,6.7
774,Iago Falque,es ESP,FWMF,Torino,it Serie A,28,1990,26,19,1612,17.9
775,Paolo Faragò,it ITA,MFDF,Cagliari,it Serie A,25,1993,26,17,1703,18.9
776,Mohamed Fares,dz ALG,DF,SPAL,it Serie A,22,1996,35,32,2949,32.8
777,Diego Farias,br BRA,FW,Empoli,it Serie A,28,1990,16,16,1193,13.3
778,Diego Farias,br BRA,FW,Cagliari,it Serie A,28,1990,16,7,700,7.8
779,Andrea Favilli,it ITA,FWDF,Genoa,it Serie A,21,1997,6,0,170,1.9
780,Federico Fazio,ar ARG,DF,Roma,it Serie A,31,1987,34,31,2806,31.2
781,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,29,1989,21,19,1702,18.9
782,Nabil Fekir,fr FRA,MF,Lyon,fr Ligue 1,25,1993,29,24,1988,22.1
783,Yassin Fekir,fr FRA,FW,Lyon,fr Ligue 1,21,1997,1,0,12,0.1
784,Felipe,br BRA,DF,Hannover 96,de Bundesliga,31,1987,17,14,1095,12.2
785,Luiz Felipe,it ITA,DF,Lazio,it Serie A,21,1997,17,15,1289,14.3
786,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,20,1997,11,2,244,2.7
787,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,30,1987,14,6,752,8.4
788,Kiko Femenía,es ESP,DF,Watford,eng Premier League,27,1991,29,22,2049,22.8
789,Edimilson Fernandes,ch SUI,MF,Fiorentina,it Serie A,22,1996,29,23,1970,21.9
790,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,31,1986,28,28,2225,24.7
791,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,16
792,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,6
793,Borja Fernández,es ESP,MFDF,Valladolid,es La Liga,37,1981,19,10,841,9.3
794,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,29,1989,19,17,1484,16.5
795,Joaquín Fernández,es ESP,DFMF,Valladolid,es La Liga,22,1996,13,9,839,9.3
796,Fernandinho,br BRA,MF,Manchester City,eng Premier League,33,1985,29,27,2377,26.4
797,Juan Ferney Otero,co COL,FWMF,Amiens,fr Ligue 1,23,1995,33,24,2175,24.2
798,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,24,1994,6,6,540,6
799,David Ferreiro,es ESP,MFFW,Huesca,es La Liga,30,1988,35,23,2280,25.3
800,Facundo Ferreyra,ar ARG,FW,Espanyol,es La Liga,27,1991,9,1,211,2.3
801,Jordan Ferri,fr FRA,MF,Nîmes,fr Ligue 1,26,1992,24,21,1874,20.8
802,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,26,1992,4,1,116,1.3
803,Oliver Fink,de GER,MF,Düsseldorf,de Bundesliga,36,1982,18,13,1055,11.7
804,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,29,1989,18,17,1335,14.8
805,Roberto Firmino,br BRA,FWMF,Liverpool,eng Premier League,26,1991,34,31,2607,29
806,Junior Firpo,es ESP,DFFW,Betis,es La Liga,21,1996,24,22,1937,21.5
807,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,34,1984,10,4,453,5
808,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,1
809,Sergio Floccari,it ITA,FW,SPAL,it Serie A,36,1981,20,11,976,10.8
810,Alessandro Florenzi,it ITA,DFFW,Roma,it Serie A,27,1991,29,24,2180,24.2
811,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,18,2000,13,3,335,3.7
812,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,25,1992,3,2,186,2.1
813,Guessouma Fofana,mr MTN,MF,Guingamp,fr Ligue 1,25,1992,10,4,479,5.3
814,Seko Fofana,ci CIV,MF,Udinese,it Serie A,23,1995,31,31,2639,29.3
815,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2000,2,1,161,1.8
816,Youssouf Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,19,1999,17,10,912,10.1
817,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,23,1994,32,32,2880,32
818,Thomas Fontaine,mg MAD,DFMF,Reims,fr Ligue 1,27,1991,7,4,420,4.7
819,José Fonte,pt POR,DF,Lille,fr Ligue 1,34,1983,36,36,3110,34.6
820,Rui Fonte,pt POR,FWMF,Lille,fr Ligue 1,28,1990,18,5,627,7
821,Pablo Fornals,es ESP,MFFW,Villarreal,es La Liga,22,1996,35,28,2479,27.5
822,Emil Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,26,1991,20,14,1249,13.9
823,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,1
824,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,26,1992,3,1,136,1.5
825,Iver Fossum,no NOR,MF,Hannover 96,de Bundesliga,22,1996,9,5,455,5.1
826,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,38
827,Timothy Fosu-Mensah,nl NED,DF,Fulham,eng Premier League,20,1998,12,10,793,8.8
828,Dimitri Foulquier,fr FRA,MFDF,Getafe,es La Liga,25,1993,25,23,1799,20
829,Juan Foyth,ar ARG,DF,Tottenham,eng Premier League,20,1998,12,10,888,9.9
830,Raphael Framberger,de GER,DFMF,Augsburg,de Bundesliga,22,1995,7,6,548,6.1
831,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,33,1985,17,13,1229,13.7
832,Mike Frantz,de GER,MFFW,Freiburg,de Bundesliga,31,1986,31,29,2216,24.6
833,Ryan Fraser,sct SCO,MFFW,Bournemouth,eng Premier League,24,1994,38,35,3166,35.2
834,Pierluigi Frattali,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,1
835,Fred,br BRA,MF,Manchester Utd,eng Premier League,25,1993,17,13,1041,11.6
836,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,25,1992,15,12,1086,12.1
837,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,26,1992,35,35,3022,33.6
838,Nicolas Frey,fr FRA,DF,Chievo,it Serie A,34,1984,5,3,227,2.5
839,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,20,1998,7,5,474,5.3
840,Alexander Fuchs,de GER,MFFW,Nürnberg,de Bundesliga,21,1997,9,8,655,7.3
841,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,32,1986,3,2,207,2.3
842,Javi Fuego,es ESP,MF,Villarreal,es La Liga,34,1984,5,3,233,2.6
843,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,21,1996,31,18,1635,18.2
844,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,25,1993,14,13,1112,12.4
845,Ramiro Funes Mori,ar ARG,DFMF,Villarreal,es La Liga,27,1991,31,29,2627,29.2
846,Manolo Gabbiadini,it ITA,FWMF,Southampton,eng Premier League,26,1991,12,4,476,5.3
847,Manolo Gabbiadini,it ITA,FW,Sampdoria,it Serie A,26,1991,18,8,812,9
848,Mijat Gaćinović,rs SRB,MF,Eint Frankfurt,de Bundesliga,23,1995,29,16,1626,18.1
849,Gianluca Gaetano,it ITA,MFFW,Napoli,it Serie A,18,2000,2,0,8,0.1
850,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,24,1994,19,13,1087,12.1
851,Riccardo Gagliolo,se SWE,DF,Parma,it Serie A,28,1990,34,34,3045,33.8
852,Milan Gajić,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,1,1,90,1
853,Javi Galán,es ESP,DFFW,Huesca,es La Liga,23,1994,16,16,1440,16
854,Sam Gallagher,eng ENG,FW,Southampton,eng Premier League,22,1995,4,0,34,0.4
855,Álex Gallar,es ESP,MFFW,Huesca,es La Liga,26,1992,25,10,1009,11.2
856,Enric Gallego,es ESP,FW,Huesca,es La Liga,31,1986,19,17,1539,17.1
857,Álex Gálvez,es ESP,DF,Rayo Vallecano,es La Liga,29,1989,17,17,1412,15.7
858,Kévin Gameiro,fr FRA,FW,Valencia,es La Liga,31,1987,33,16,1612,17.9
859,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,28,1989,33,32,2822,31.4
860,Ignatius Ganago,cm CMR,FW,Nice,fr Ligue 1,19,1999,20,9,1036,11.5
861,Cristian Ganea,ro ROU,DF,Athletic Club,es La Liga,26,1992,1,1,49,0.5
862,Ganso,br BRA,MFFW,Amiens,fr Ligue 1,28,1989,12,5,520,5.8
863,Ezequiel Garay,ar ARG,DF,Valencia,es La Liga,31,1986,24,24,2136,23.7
864,Borja Garcés,es ESP,FW,Atlético Madrid,es La Liga,18,1999,1,0,20,0.2
865,Alberto García,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,17
866,Aleix García,es ESP,MF,Girona,es La Liga,21,1997,31,20,1663,18.5
867,Álvaro García,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,35,17,1766,19.6
868,Borja García,es ESP,MFFW,Girona,es La Liga,27,1990,33,30,2629,29.2
869,Dani García,es ESP,MF,Athletic Club,es La Liga,28,1990,29,29,2476,27.5
870,Javi García,es ESP,DFMF,Betis,es La Liga,31,1987,13,6,524,5.8
871,Manu García,es ESP,MF,Alavés,es La Liga,32,1986,34,25,2330,25.9
872,Manu García,es ESP,MF,Toulouse,fr Ligue 1,20,1998,31,21,1843,20.5
873,Raúl García,es ESP,MFFW,Athletic Club,es La Liga,32,1986,33,27,2369,26.3
874,Raúl García,es ESP,DF,Leganés,es La Liga,29,1989,5,4,381,4.2
875,Raúl García,es ESP,DF,Girona,es La Liga,29,1989,10,10,850,9.4
876,Sergio García,es ESP,FWMF,Espanyol,es La Liga,35,1983,29,17,1486,16.5
877,James Garner,eng ENG,MF,Manchester Utd,eng Premier League,17,2001,1,0,1,0
878,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,27,1990,31,30,2599,28.9
879,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3,3,270,3
880,Marcello Gazzola,it ITA,DFMF,Parma,it Serie A,33,1985,20,9,921,10.2
881,Jean-Philippe Gbamin,ci CIV,MF,Mainz 05,de Bundesliga,22,1995,31,30,2672,29.7
882,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38,38,3420,38
883,Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,31,1986,32,32,2814,31.3
884,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,20,1998,4,2,246,2.7
885,Jérémy Gélin,fr FRA,DFMF,Rennes,fr Ligue 1,21,1997,22,12,1278,14.2
886,Romain Genevois,ht HAI,DF,Caen,fr Ligue 1,30,1987,6,5,357,4
887,Christian Gentner,de GER,MFFW,Stuttgart,de Bundesliga,32,1985,29,24,2018,22.4
888,Yannick Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,24,1994,30,28,2455,27.3
889,Valère Germain,fr FRA,FW,Marseille,fr Ligue 1,28,1990,36,23,2170,24.1
890,Gerson,br BRA,MFFW,Fiorentina,it Serie A,21,1997,36,27,2426,27
891,Gervinho,ci CIV,FW,Parma,it Serie A,31,1987,30,27,2304,25.6
892,Willem Geubbels,fr FRA,MF,Monaco,fr Ligue 1,16,2001,1,0,8,0.1
893,Lamine Ghezali,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19,1999,6,0,44,0.5
894,Rachid Ghezzal,dz ALG,FWMF,Leicester City,eng Premier League,26,1992,19,8,743,8.3
895,Paolo Ghiglione,it ITA,DF,Frosinone,it Serie A,21,1997,9,6,514,5.7
896,Saman Ghoddos,ir IRN,FWMF,Amiens,fr Ligue 1,24,1993,27,20,1827,20.3
897,Faouzi Ghoulam,dz ALG,DF,Napoli,it Serie A,27,1991,16,12,1154,12.8
898,Emanuele Giaccherini,it ITA,MFFW,Chievo,it Serie A,33,1985,26,22,2009,22.3
899,Morgan Gibbs-White,eng ENG,MFFW,Wolves,eng Premier League,18,2000,26,5,663,7.4
900,Ben Gibson,eng ENG,DF,Burnley,eng Premier League,25,1993,1,1,62,0.7
901,Fabian Giefer,de GER,GK,Augsburg,de Bundesliga,28,1990,4,4,360,4
902,Niko Gießelmann,de GER,DF,Düsseldorf,de Bundesliga,26,1991,30,29,2593,28.8
903,Daniel Ginczek,de GER,FW,Wolfsburg,de Bundesliga,27,1991,24,12,1276,14.2
904,Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,24,1994,27,27,2379,26.4
905,Andrei Girotto,br BRA,MF,Nantes,fr Ligue 1,26,1992,20,18,1475,16.4
906,Olivier Giroud,fr FRA,FW,Chelsea,eng Premier League,31,1986,27,7,847,9.4
907,Kamil Glik,pl POL,DF,Monaco,fr Ligue 1,30,1988,33,33,2970,33
908,Serge Gnabry,de GER,FWMF,Bayern Munich,de Bundesliga,23,1995,30,21,1762,19.6
909,Joris Gnagnon,fr FRA,DFMF,Sevilla,es La Liga,21,1997,7,4,446,5
910,Eddy Gnahoré,fr FRA,MF,Amiens,fr Ligue 1,24,1993,34,24,2243,24.9
911,Massimo Gobbi,it ITA,DF,Parma,it Serie A,37,1980,16,13,1183,13.1
912,Kevin Goden,de GER,DFMF,Nürnberg,de Bundesliga,19,1999,5,3,273,3
913,Diego Godín,uy URU,DF,Atlético Madrid,es La Liga,32,1986,30,28,2509,27.9
914,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,30,1988,8,7,713,7.9
915,Edoardo Goldaniga,it ITA,DF,Frosinone,it Serie A,24,1993,29,29,2610,29
916,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,23,1995,20,20,1799,20
917,Aleksandr Golovin,ru RUS,MFFW,Monaco,fr Ligue 1,22,1996,30,27,2290,25.4
918,André Gomes,pt POR,MF,Everton,eng Premier League,25,1993,27,24,1980,22
