Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,0,2,0,0,0.13,0,0,,21.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,2b09d998
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,17.2,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches,2.29E+101
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,0,4,1,25,1.02,0.26,0,0,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,7587446d
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.8,4.8,0.13,-1.8,-1.8,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,1,32,15,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches,26777636
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,0,2,2,100,0.41,0.41,0,0,22.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,16.1,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches,0154d290
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18,0,4,0,0,0.22,0,0,,19.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,355c883a
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a2c1a8d3
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0,15,1,6.7,0.72,0.05,0,0,11.9,0,0,0,1.3,1.2,0.08,-1.3,-1.2,Matches,8bc8829a
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,3,21,11,52.4,1.53,0.8,0.14,0.27,17.2,0,0,0,2,2,0.1,+1.0,+1.0,Matches,46fa7204
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,2,25,7,28,0.82,0.23,0.08,0.29,9.4,0,0,0,2.5,2.5,0.1,-0.5,-0.5,Matches,288e1e13
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1,6,1,16.7,3.58,0.6,0.17,1,12,0,0,0,1.2,1.2,0.19,-0.2,-0.2,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,0,10,2,20,0.42,0.08,0,0,22.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,3dd738a1
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,93b054dc
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a6c58494
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,0,8,4,50,0.53,0.27,0,0,16,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,eab957a3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,1,17,2,11.8,1.52,0.18,0.06,0.5,21.2,0,0,0,2.2,2.2,0.13,-1.2,-1.2,Matches,48b28bfd
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,0,6,1,16.7,0.2,0.03,0,0,13.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,18abe173
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16,0,10,4,40,0.63,0.25,0,0,23.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,246d153b
35,Rayan Aït Nouri,fr FRA,DFMF,Wolves,eng Premier League,20,2001,20.3,1,13,4,30.8,0.64,0.2,0.08,0.25,17.6,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,9b398aea
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1,8.8,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches,a8c0acb7
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,12,56,24,42.9,1.84,0.79,0.16,0.38,13.5,0,3,3,11.1,8.7,0.16,+0.9,+0.3,Matches,462475ed
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1,13,3,23.1,0.52,0.12,0.08,0.33,11.2,1,0,0,1.9,1.9,0.15,-0.9,-0.9,Matches,89ac64a6
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,0,10,1,10,0.49,0.05,0,0,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,f2a68b97
40,Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20,2001,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,414e1f69
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,2,5,2,40,0.49,0.2,0.4,1,7.3,0,0,0,0.7,0.7,0.15,+1.3,+1.3,Matches,eaeca114
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,0,4,2,50,2.9,1.45,0,0,19,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,b8bd60fe
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,0,2,1,50,3.33,1.67,0,0,16,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,b625b241
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,0,2,0,0,0.35,0,0,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,31f5b89b
