Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,30,1990,28.1,25,64,36,56.3,2.28,1.28,0.27,0.47,14.7,4,8,8
Marco Benassi,it ITA,DFMF,Fiorentina,it Serie A,26,1994,1.8,0,3,0,0.0,1.71,0.00,0.00,,21.5,0,0,0
Marco Benassi,it ITA,MF,Empoli,it Serie A,26,1994,4.2,0,7,3,42.9,1.65,0.71,0.00,0.00,18.3,0,0,0
Darío Benedetto,ar ARG,FWMF,Elche,es La Liga,31,1990,6.6,2,18,6,33.3,2.75,0.92,0.11,0.33,21.3,0,0,0
Darío Benedetto,ar ARG,FWMF,Marseille,fr Ligue 1,31,1990,0.6,0,3,0,0.0,5.00,0.00,0.00,,12.7,0,0,0
László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,23,1997,2.7,0,7,5,71.4,2.56,1.83,0.00,0.00,22.6,2,0,0
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0
Iker Benito,es ESP,FWMF,Osasuna,es La Liga,18,2002,1.3,0,3,1,33.3,2.29,0.76,0.00,0.00,25.8,0,0,0
Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0
Pedro Benito,es ESP,FW,Cádiz,es La Liga,21,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0
Filip Benković,hr CRO,DFFW,Udinese,it Serie A,24,1997,0.1,0,1,1,100.0,11.25,11.25,0.00,0.00,9.5,0,0,0
Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,23,1997,16.9,2,16,6,37.5,0.94,0.35,0.13,0.33,23.9,2,0,0
Keanan Bennetts,eng ENG,FWDF,M'Gladbach,de Bundesliga,22,1999,0.6,0,1,0,0.0,1.80,0.00,0.00,,19.3,0,0,0
Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,25,1995,24.1,8,63,20,31.7,2.62,0.83,0.13,0.40,19.6,3,0,0
Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,26,1995,22.4,4,28,7,25.0,1.25,0.31,0.07,0.29,17.4,1,2,2
Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,26,1994,16.8,1,15,7,46.7,0.89,0.42,0.07,0.14,22.9,1,0,0
Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,24,1997,15.1,0,14,2,14.3,0.93,0.13,0.00,0.00,19.5,0,0,0
Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,24,1997,12.8,0,8,1,12.5,0.62,0.08,0.00,0.00,22.9,0,0,0
Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,30,1990,12.7,4,39,13,33.3,3.07,1.02,0.10,0.31,12.5,0,0,0
Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,33,1987,28.8,27,117,48,41.0,4.06,1.67,0.17,0.42,16.2,3,7,11
Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0
Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,26,1994,31.3,15,104,40,38.5,3.32,1.28,0.09,0.23,21.6,8,6,6
Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,31,1990,11.3,1,8,3,37.5,0.71,0.27,0.13,0.33,20.2,1,0,0
Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,26,1995,24.1,3,45,14,31.1,1.87,0.58,0.07,0.21,18.0,1,0,1
Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,1992,32.7,0,6,0,0.0,0.18,0.00,0.00,,14.6,0,0,0
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,30,1990,12.2,0,19,5,26.3,1.55,0.41,0.00,0.00,19.9,2,0,0
