Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Samuele Ricci,it ITA,MF,Torino,it Serie A,19,2001,8,8,4,4,2,2,2,5,40.0,3,7,1,6,14,22,9,0
Samuele Ricci,it ITA,MF,Empoli,it Serie A,19,2001,17,33,19,17,13,3,20,34,58.8,14,24,5,19,31,64,18,0
Declan Rice,eng ENG,MF,West Ham,eng Premier League,22,1999,35.3,80,42,45,32,3,38,71,53.5,33,45,21,24,63,143,52,1
Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,21,2000,14.5,26,15,10,15,1,11,18,61.1,7,21,9,12,22,48,50,1
Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,21,2000,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Omar Richards,eng ENG,DF,Bayern Munich,de Bundesliga,23,1998,4.9,19,12,11,5,3,11,16,68.8,5,7,1,6,4,23,7,0
Taylor Richards,eng ENG,MF,Brighton,eng Premier League,20,2000,0.3,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Richarlison,br BRA,FW,Everton,eng Premier League,24,1997,28,40,23,18,15,7,15,31,48.4,16,42,4,38,12,52,34,0
Marco Richter,de GER,FWMF,Hertha BSC,de Bundesliga,23,1997,18.9,30,16,14,10,6,13,36,36.1,23,30,4,26,16,46,24,0
Diego Rico,es ESP,DF,Real Sociedad,es La Liga,28,1993,18.3,41,20,19,17,5,22,45,48.9,23,29,4,25,30,71,54,0
Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,2
Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jaïro Riedewald,nl NED,MF,Crystal Palace,eng Premier League,24,1996,1.3,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,2,0
Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31,1,0,1,0,0,1,4,25.0,3,0,0,0,1,2,12,3
Tomás Rincón,ve VEN,MF,Torino,it Serie A,33,1988,1.8,2,2,2,0,0,0,3,0.0,3,3,1,2,2,4,4,0
Tomás Rincón,ve VEN,MF,Sampdoria,it Serie A,33,1988,13,22,13,9,10,3,13,34,38.2,21,15,2,13,18,40,11,0
Luis Rioja,es ESP,MFFW,Alavés,es La Liga,27,1993,34.6,28,15,11,10,7,14,58,24.1,44,22,1,21,25,53,20,0
Renaud Ripart,fr FRA,MFFW,Troyes,fr Ligue 1,28,1993,21,38,21,18,15,5,18,50,36.0,32,21,1,20,19,57,21,1
Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,25,1995,20,44,32,26,16,2,25,43,58.1,18,16,6,10,17,61,48,0
Matt Ritchie,sct SCO,DF,Newcastle Utd,eng Premier League,31,1989,14.9,22,15,10,10,2,10,27,37.0,17,10,2,8,13,35,26,0
Maxence Rivera,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rober,es ESP,DF,Levante,es La Liga,26,1995,22.3,36,20,27,7,2,23,39,59.0,16,25,15,10,30,66,90,1
Sergi Roberto,es ESP,MFDF,Barcelona,es La Liga,29,1992,4.4,5,1,2,3,0,3,5,60.0,2,2,0,2,4,9,6,0
Connor Roberts,wls WAL,DF,Burnley,eng Premier League,25,1995,18.8,20,13,10,7,3,10,15,66.7,5,25,5,20,22,42,62,1
Patrick Roberts,eng ENG,MF,Troyes,fr Ligue 1,24,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tyler Roberts,wls WAL,MFFW,Leeds United,eng Premier League,22,1999,11,16,7,6,7,3,9,16,56.3,7,11,1,10,5,21,11,0
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,27,1994,28.2,36,21,16,15,5,20,35,57.1,15,24,3,21,23,59,61,0
Marc Roca,es ESP,MF,Bayern Munich,de Bundesliga,24,1996,4.2,9,7,2,4,3,2,8,25.0,6,6,0,6,6,15,4,0
Rubén Rochina,es ESP,MFFW,Granada,es La Liga,30,1991,8.3,21,13,7,8,6,8,28,28.6,20,11,1,10,6,27,5,1
Cimo Röcker,de GER,DF,Hertha BSC,de Bundesliga,27,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Enzo Roco,cl CHI,DF,Elche,es La Liga,28,1992,28.4,36,20,24,11,1,15,24,62.5,9,38,27,11,28,64,110,3
Stian Rode Gregersen,no NOR,DF,Bordeaux,fr Ligue 1,26,1995,21.7,39,26,23,12,4,18,33,54.5,15,26,16,10,38,77,103,2
Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,30,1990,8.4,15,7,5,8,2,5,17,29.4,12,11,1,10,13,28,8,0
Joe Rodon,wls WAL,DF,Tottenham,eng Premier League,23,1997,1,0,0,0,0,0,0,0,,0,2,1,1,0,0,7,0
Rodri,es ESP,MF,Manchester City,eng Premier League,25,1996,32,72,43,24,38,10,32,59,54.2,27,28,5,23,28,100,45,0
Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,30,1991,25.2,20,9,7,6,7,4,32,12.5,28,12,0,12,11,31,27,1
Rodrigo,es ESP,FW,Betis,es La Liga,21,2000,9.8,10,7,4,5,1,5,22,22.7,17,11,0,11,3,13,4,0
Gerson Rodrigues,lu LUX,FWMF,Troyes,fr Ligue 1,26,1995,9.4,12,9,2,6,4,1,17,5.9,16,8,1,7,0,12,2,0
Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,es La Liga,27,1994,4.8,15,11,8,7,0,6,10,60.0,4,10,1,9,7,22,6,0
Ángel Rodríguez,es ESP,FWMF,Mallorca,es La Liga,34,1987,17.2,15,9,6,7,2,4,21,19.0,17,15,1,14,3,18,13,0
Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,es La Liga,23,1998,10.5,16,11,6,8,2,4,12,33.3,8,7,1,6,11,27,6,0
Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,es La Liga,23,1998,4.6,4,3,1,3,0,2,3,66.7,1,2,0,2,5,9,7,1
Dani Rodríguez,es ESP,MFFW,Mallorca,es La Liga,33,1988,31.5,53,31,20,24,9,15,46,32.6,31,28,3,25,20,73,27,0
Guido Rodríguez,ar ARG,MF,Betis,es La Liga,27,1994,28.1,97,53,46,45,6,54,98,55.1,44,55,12,43,31,128,56,0
Jay Rodriguez,eng ENG,FW,Burnley,eng Premier League,32,1989,15.4,20,12,8,8,4,4,14,28.6,10,19,1,18,4,24,12,0
Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,28,1992,27.5,36,21,11,23,2,18,33,54.5,15,22,8,14,41,77,48,1
Rodrygo,br BRA,FW,Real Madrid,es La Liga,20,2001,16.9,18,14,7,4,7,3,18,16.7,15,21,0,21,11,29,3,0
Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,22,1999,13.8,23,12,19,2,2,14,32,43.8,18,14,5,9,16,39,29,0
Marko Rog,hr CRO,MF,Cagliari,it Serie A,26,1995,3.5,5,3,1,2,2,1,8,12.5,7,6,1,5,1,6,3,0
Rogério,br BRA,DF,Sassuolo,it Serie A,23,1998,19.2,21,13,12,5,4,15,22,68.2,7,20,8,12,18,39,42,1
Alessio Romagnoli,it ITA,DF,Milan,it Serie A,26,1995,15.7,24,14,14,10,0,14,18,77.8,4,21,12,9,19,43,45,0
Simone Romagnoli,it ITA,DF,Empoli,it Serie A,31,1990,16.6,28,12,14,12,2,15,20,75.0,5,34,28,6,9,37,86,0
Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,23,1998,20.5,62,39,39,21,2,22,34,64.7,12,46,21,25,33,95,74,1
Iván Romero,es ESP,FW,Sevilla,es La Liga,20,2001,2,2,2,0,2,0,0,0,,0,1,0,1,2,4,0,0
Luka Romero,ar ARG,FW,Lazio,it Serie A,16,2004,0.9,2,1,0,1,1,0,2,0.0,2,0,0,0,1,3,0,0
Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16,2,2,2,0,0,2,2,100.0,0,0,0,0,1,3,10,0
Oriol Romeu,es ESP,MF,Southampton,eng Premier League,29,1991,32.1,77,39,25,45,7,28,73,38.4,45,39,8,31,51,128,43,0
Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,36,1985,27.3,8,6,1,5,2,2,6,33.3,4,8,0,8,2,10,29,0
Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,36,1985,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Salomón Rondón,ve VEN,FW,Everton,eng Premier League,31,1989,8.8,6,1,1,2,3,4,14,28.6,10,5,0,5,0,6,10,0
Valentin Rongier,fr FRA,MFDF,Marseille,fr Ligue 1,26,1994,24.4,77,51,36,36,5,28,60,46.7,32,26,5,21,33,110,14,0
Marten de Roon,nl NED,MFDF,Atalanta,it Serie A,30,1991,28.3,69,42,33,29,7,34,62,54.8,28,36,2,34,45,114,41,0
Unai Ropero,es ESP,MF,Alavés,es La Liga,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Pablo Rosario,nl NED,MF,Nice,fr Ligue 1,24,1997,30.3,59,37,18,32,9,26,66,39.4,40,33,7,26,38,97,43,0
Romario Rösch,de GER,MF,Mainz 05,de Bundesliga,22,1999,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Danny Rose,eng ENG,DF,Watford,eng Premier League,31,1990,7.7,16,10,11,4,1,10,24,41.7,14,8,5,3,14,30,11,1
Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tom Rothe,de GER,DF,Dortmund,de Bundesliga,16,2004,1,4,3,2,2,0,3,6,50.0,3,2,0,2,2,6,3,0
Jérôme Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,28,1993,19.7,14,9,8,6,0,10,16,62.5,6,24,5,19,14,28,34,2
Nicolò Rovella,it ITA,MF,Genoa,it Serie A,19,2001,16.3,37,26,16,14,7,15,40,37.5,25,21,1,20,20,57,20,0
Jon Rowe,eng ENG,FWMF,Norwich City,eng Premier League,18,2003,2.5,3,2,2,1,0,2,3,66.7,1,7,0,7,3,6,1,0
Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,27,1994,32.5,21,11,15,5,1,15,19,78.9,4,36,25,11,19,40,89,0
Ruan,br BRA,DF,Sassuolo,it Serie A,22,1999,2.4,7,4,7,0,0,3,4,75.0,1,6,5,1,2,9,24,1
Rubén,es ESP,DF,Espanyol,es La Liga,20,2001,1.7,6,1,4,2,0,4,7,57.1,3,0,0,0,2,8,4,0
John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Antonio Rüdiger,de GER,DF,Chelsea,eng Premier League,28,1993,33.7,48,28,29,15,4,36,48,75.0,12,20,11,9,28,76,91,1
Sebastian Rudy,de GER,MF,Hoffenheim,de Bundesliga,31,1990,8.6,22,12,9,13,0,11,21,52.4,10,8,3,5,11,33,8,1
Daniele Rugani,it ITA,DF,Juventus,it Serie A,27,1994,9.8,8,5,4,4,0,4,7,57.1,3,9,4,5,11,19,47,0
Matteo Ruggeri,it ITA,DF,Salernitana,it Serie A,19,2002,7.5,8,4,5,2,1,7,10,70.0,3,6,1,5,2,10,25,0
Mário Rui,pt POR,DF,Napoli,it Serie A,30,1991,33.2,68,43,32,28,8,39,84,46.4,45,31,7,24,40,108,50,0
Aitor Ruibal,es ESP,FWDF,Betis,es La Liga,25,1996,9.5,21,15,13,3,5,10,34,29.4,24,8,0,8,8,29,6,0
Isma Ruiz,es ESP,MF,Granada,es La Liga,20,2001,3.1,3,1,3,0,0,1,9,11.1,8,5,2,3,3,6,2,0
Fabián Ruiz Peña,es ESP,MF,Napoli,it Serie A,25,1996,26.5,55,33,22,29,4,29,67,43.3,38,34,1,33,22,77,32,0
Víctor Ruiz,es ESP,DF,Betis,es La Liga,32,1989,15.8,11,9,7,2,2,6,9,66.7,3,18,13,5,29,40,71,1
Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32,0,0,0,0,0,0,4,0.0,4,0,0,0,1,1,15,5
Lukas Rupp,de GER,MF,Norwich City,eng Premier League,30,1991,8.5,9,4,5,3,1,4,15,26.7,11,11,1,10,9,18,7,0
Alessandro Russo,it ITA,MF,Salernitana,it Serie A,17,2003,0.3,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0
Franco Russo,ar ARG,DF,Mallorca,es La Liga,26,1994,16.3,19,10,10,9,0,13,31,41.9,18,14,9,5,27,46,73,1
Georginio Rutter,fr FRA,FWMF,Hoffenheim,de Bundesliga,19,2002,17.9,18,13,4,8,6,6,17,35.3,11,29,1,28,6,24,11,1
Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,29,1992,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,23,1997,15.9,27,15,11,12,4,17,25,68.0,8,12,4,8,16,43,32,0
Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,36.5,2,1,2,0,0,2,4,50.0,2,0,0,0,2,4,19,5
Roli Pereira de Sa,fr FRA,MF,Nantes,fr Ligue 1,24,1996,6.4,12,4,3,5,4,3,20,15.0,17,6,0,6,6,18,3,0
Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,28,1993,8.8,12,10,11,0,1,7,13,53.8,6,11,4,7,13,25,16,1
Mathys Saban,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19,2002,0.8,4,2,2,2,0,1,1,100.0,0,1,0,1,0,4,0,0
Stefano Sabelli,it ITA,DF,Genoa,it Serie A,28,1993,3.9,6,3,3,2,1,3,9,33.3,6,5,1,4,3,9,12,0
Abdelhamid Sabiri,ma MAR,MFFW,Sampdoria,it Serie A,24,1996,9.9,34,18,10,15,9,7,25,28.0,18,10,2,8,7,41,3,0
Marcel Sabitzer,at AUT,MFDF,Bayern Munich,de Bundesliga,27,1994,10.1,18,7,8,8,2,9,19,47.4,10,7,0,7,9,27,10,1
Marcel Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,27,1994,0.5,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0
Falaye Sacko,ml MLI,DF,Saint-Étienne,fr Ligue 1,26,1995,7.4,15,10,14,1,0,13,16,81.3,3,11,7,4,4,19,18,2
Alexis Saelemaekers,be BEL,FW,Milan,it Serie A,22,1999,20.7,43,22,12,17,14,15,51,29.4,36,19,0,19,15,58,8,0
Rafiki Said Ahamada,fr FRA,MFFW,Brest,fr Ligue 1,21,2000,1.4,4,3,1,2,1,3,4,75.0,1,2,0,2,0,4,0,0
Wesley Saïd,fr FRA,FWMF,Lens,fr Ligue 1,26,1995,7.3,10,5,1,8,1,1,9,11.1,8,4,0,4,2,12,0,0
Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,eng Premier League,24,1997,31.2,13,8,6,4,3,3,17,17.6,14,13,2,11,11,24,3,0
Romain Saïss,ma MAR,DF,Wolves,eng Premier League,31,1990,30.1,40,27,28,11,1,19,33,57.6,14,41,21,20,58,98,158,2
Bukayo Saka,eng ENG,FWMF,Arsenal,eng Premier League,19,2001,33.1,40,21,12,17,11,13,39,33.3,26,28,2,26,22,62,23,0
Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,31,1990,28.6,34,22,26,8,0,16,26,61.5,10,41,34,7,41,75,134,4
Bakary Sako,ml MLI,FWMF,Saint-Étienne,fr Ligue 1,33,1988,1.7,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,0,0
Jacopo Sala,it ITA,MF,Spezia,it Serie A,29,1991,9.8,22,11,10,10,2,13,30,43.3,17,6,0,6,14,36,11,0
Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,29,1992,30.7,17,8,5,9,3,6,19,31.6,13,7,1,6,6,23,5,0
Eddie Salcedo,it ITA,MFFW,Spezia,it Serie A,19,2001,4.8,1,1,0,0,1,0,1,0.0,1,2,1,1,0,1,7,1
William Saliba,fr FRA,DF,Marseille,fr Ligue 1,20,2001,36,54,32,36,16,2,27,35,77.1,8,24,16,8,48,102,85,0
Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mohammed Salisu,gh GHA,DF,Southampton,eng Premier League,22,1999,33,80,47,54,22,4,40,65,61.5,25,49,26,23,78,158,158,4
Roland Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,24,1997,17.2,22,16,8,11,3,7,23,30.4,16,12,0,12,11,33,12,0
Yoann Salmier,gf GUF,DF,Troyes,fr Ligue 1,28,1992,29.6,58,33,44,11,3,26,34,76.5,8,30,14,16,40,98,94,0
Salvi,es ESP,MFFW,Cádiz,es La Liga,30,1991,15.5,20,10,9,8,3,8,20,40.0,12,17,2,15,6,26,11,0
Lazar Samardzic,de GER,MFFW,Udinese,it Serie A,19,2002,5.4,13,9,4,7,2,7,26,26.9,19,6,0,6,2,15,2,0
Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,25,1996,18.4,41,26,14,21,6,22,45,48.9,23,27,11,16,28,69,26,0
Mama Samba Baldé,gw GNB,MFFW,Troyes,fr Ligue 1,25,1995,19.1,40,28,16,14,10,8,26,30.8,18,32,1,31,5,45,9,0
Albert Sambi Lokonga,be BEL,MF,Arsenal,eng Premier League,21,1999,12.6,22,18,11,9,2,12,14,85.7,2,12,7,5,13,35,12,4
Junior Sambia,fr FRA,DFFW,Montpellier,fr Ligue 1,24,1996,17,22,13,12,7,3,13,22,59.1,9,22,3,19,21,43,31,0
Luigi Samele,it ITA,FW,Sassuolo,it Serie A,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Fede San Emeterio,es ESP,MF,Cádiz,es La Liga,24,1997,9.2,16,5,5,8,3,5,15,33.3,10,5,0,5,8,24,6,0
Antonio Sanabria,py PAR,FW,Torino,it Serie A,25,1996,20,3,2,0,1,2,1,4,25.0,3,11,4,7,2,5,10,0
Oihan Sancet,es ESP,FW,Athletic Club,es La Liga,21,2000,15.8,12,7,2,8,2,5,20,25.0,15,2,0,2,5,17,13,0
Renato Sanches,pt POR,MFFW,Lille,fr Ligue 1,23,1997,18.3,19,7,8,10,1,9,26,34.6,17,14,3,11,14,33,7,0
Alexis Sánchez,cl CHI,FW,Inter,it Serie A,32,1988,9.8,9,8,0,6,3,2,11,18.2,9,4,0,4,2,11,3,0
Antonio Sánchez,es ESP,MFFW,Mallorca,es La Liga,24,1997,18,53,24,29,17,7,19,49,38.8,30,32,2,30,32,85,32,1
Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,25,1996,18.1,41,22,25,14,2,19,28,67.9,9,24,16,8,30,71,54,3
Germán Sánchez,es ESP,DF,Granada,es La Liga,34,1986,25.5,27,19,18,9,0,11,20,55.0,9,19,16,3,28,55,137,0
Juan Sánchez,es ESP,,Sevilla,es La Liga,17,2003,0.1,,0,,,,,,,,,,,0,,,
Manuel Sánchez,es ESP,DF,Osasuna,es La Liga,20,2000,25.1,72,34,41,22,9,43,79,54.4,36,28,3,25,18,90,43,0
Robert Sánchez,es ESP,GK,Brighton,eng Premier League,23,1997,37,2,1,2,0,0,1,1,100.0,0,1,0,1,0,2,11,4
Jadon Sancho,eng ENG,FWMF,Manchester Utd,eng Premier League,21,2000,21.1,14,8,9,4,1,8,22,36.4,14,19,0,19,15,29,5,3
Philippe Sandler,nl NED,DF,Troyes,fr Ligue 1,24,1997,0.8,0,0,0,0,0,0,0,,0,1,1,0,3,3,6,0
Alex Sandro,br BRA,DF,Juventus,it Serie A,30,1991,19.8,27,16,15,9,3,11,25,44.0,14,17,6,11,27,54,40,0
Leroy Sané,de GER,FWMF,Bayern Munich,de Bundesliga,25,1996,22,28,16,5,19,4,9,24,37.5,15,18,0,18,12,40,2,1
Oier Sanjurjo,es ESP,MF,Osasuna,es La Liga,35,1986,8.4,10,6,3,7,0,2,19,10.5,17,8,3,5,1,11,9,0
Mohamed Sankoh,nl NED,FW,Stuttgart,de Bundesliga,17,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Morgan Sanson,fr FRA,MF,Aston Villa,eng Premier League,26,1994,4,12,8,7,2,3,3,7,42.9,4,13,0,13,10,22,2,1
Nicola Sansone,it ITA,FWMF,Bologna,it Serie A,29,1991,10,13,7,5,6,2,3,15,20.0,12,1,0,1,4,17,2,0
Baptiste Santamaria,fr FRA,MFDF,Rennes,fr Ligue 1,26,1995,28,52,27,15,31,6,24,44,54.5,20,33,12,21,32,84,42,0
Baptiste Santamaria,fr FRA,MF,Freiburg,de Bundesliga,26,1995,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Federico Santander,py PAR,FWDF,Bologna,it Serie A,30,1991,0.7,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Jesús Santiago,es ESP,MF,Valencia,es La Liga,17,2004,0.9,2,2,1,1,0,0,2,0.0,2,1,0,1,0,2,1,0
Samir Santos,br BRA,DF,Watford,eng Premier League,26,1994,18.6,24,11,18,6,0,8,19,42.1,11,21,11,10,43,67,85,3
Samir Santos,br BRA,DF,Udinese,it Serie A,26,1994,15.8,36,16,22,13,1,15,25,60.0,10,21,7,14,42,78,62,0
Sergio Santos,es ESP,DF,Real Madrid,es La Liga,20,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alvaro Sanz,es ESP,MF,Barcelona,es La Liga,20,2001,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Riccardo Saponara,it ITA,FW,Fiorentina,it Serie A,29,1991,14.3,10,2,1,6,3,6,16,37.5,10,5,0,5,1,11,3,0
Pablo Sarabia,es ESP,FW,Paris S-G,fr Ligue 1,29,1992,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Marcelo Saracchi,uy URU,DF,Levante,es La Liga,23,1998,2.1,8,5,6,1,1,2,4,50.0,2,3,0,3,4,12,7,1
Josh Sargent,us USA,FWMF,Norwich City,eng Premier League,21,2000,17.5,26,14,15,7,4,14,39,35.9,25,29,2,27,11,37,18,2
Jeremy Sarmiento,ec ECU,FWMF,Brighton,eng Premier League,19,2002,0.5,1,1,0,0,1,0,2,0.0,2,2,0,2,0,1,0,0
Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,29,1992,0.7,4,4,2,1,1,4,5,80.0,1,2,1,1,6,10,1,0
Ismaila Sarr,sn SEN,FWMF,Watford,eng Premier League,23,1998,20.7,12,7,4,3,5,5,19,26.3,14,10,1,9,9,21,10,0
Malang Sarr,fr FRA,DF,Chelsea,eng Premier League,22,1999,6.1,14,7,10,2,2,7,12,58.3,5,6,3,3,11,25,20,0
Joan Sastre Vanrell,es ESP,DF,Mallorca,es La Liga,24,1997,2.9,6,3,5,0,1,3,4,75.0,1,3,0,3,2,8,10,0
Giacomo Satalino,it ITA,GK,Sassuolo,it Serie A,22,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Martin Satriano,uy URU,FWMF,Inter,it Serie A,20,2001,0.4,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Martin Satriano,uy URU,FW,Brest,fr Ligue 1,20,2001,10.4,5,2,1,1,3,2,7,28.6,5,8,0,8,2,7,3,0
Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,29,1991,26.8,46,27,18,19,9,21,59,35.6,38,23,1,22,25,71,12,1
Esteban Saveljich,me MNE,DF,Rayo Vallecano,es La Liga,30,1991,18.9,18,11,11,7,0,9,15,60.0,6,20,12,8,16,34,69,0
Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,30,1991,27.1,46,20,25,20,1,29,43,67.4,14,19,12,7,37,83,102,1
Joe Scally,us USA,DF,M'Gladbach,de Bundesliga,18,2002,21.2,40,30,21,14,5,17,41,41.5,24,27,4,23,22,62,38,0
Giorgio Scalvini,it ITA,DFMF,Atalanta,it Serie A,17,2003,8.5,22,11,13,8,1,9,19,47.4,10,12,1,11,22,44,16,0
Gianluca Scamacca,it ITA,FW,Sassuolo,it Serie A,22,1999,23.8,19,14,2,5,12,5,21,23.8,16,16,1,15,5,24,22,1
Dane Scarlett,eng ENG,MF,Tottenham,eng Premier League,17,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin Schade,de GER,MFFW,Freiburg,de Bundesliga,19,2001,9.2,9,7,6,2,1,3,10,30.0,7,15,3,12,3,12,16,0
András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,22,1999,2.7,4,1,3,1,0,0,5,0.0,5,7,1,6,2,6,4,0
Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,29,1991,24,16,11,11,3,2,8,16,50.0,8,27,18,9,32,48,95,2
Louis Schaub,at AUT,MFFW,Köln,de Bundesliga,26,1994,7.3,16,10,7,7,2,11,20,55.0,9,17,3,14,3,19,3,0
Andrea Schiavone,it ITA,MF,Salernitana,it Serie A,28,1993,6.3,14,8,5,9,0,10,23,43.5,13,13,3,10,8,22,12,0
Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,25,1996,23.1,5,2,2,2,1,1,9,11.1,8,6,1,5,3,8,28,0
Kingsley Schindler,de GER,DFFW,Köln,de Bundesliga,28,1993,3.9,1,0,0,0,1,1,5,20.0,4,5,1,4,5,6,5,0
Xaver Schlager,at AUT,MF,Wolfsburg,de Bundesliga,23,1997,11.6,43,20,20,20,3,20,49,40.8,29,25,2,23,9,52,14,0
Keven Schlotterbeck,de GER,DFFW,Freiburg,de Bundesliga,24,1997,3.5,11,5,6,5,0,5,6,83.3,1,7,4,3,11,22,24,1
Nico Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,21,1999,30.9,72,43,36,34,2,33,48,68.8,15,41,32,9,56,128,154,1
Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,eng Premier League,28,1992,20.6,46,25,16,23,7,24,50,48.0,26,39,9,30,18,64,32,0
Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,2
Jonathan Schmid,fr FRA,DF,Freiburg,de Bundesliga,31,1990,6.5,12,6,6,3,3,5,7,71.4,2,7,1,6,6,18,15,0
Benno Schmitz,de GER,DF,Köln,de Bundesliga,26,1994,26.9,57,37,21,27,9,42,86,48.8,44,44,8,36,39,96,39,0
David Schnegg,at AUT,DF,Venezia,it Serie A,22,1998,1.6,2,0,1,1,0,1,3,33.3,2,4,0,4,3,5,6,0
Morgan Schneiderlin,fr FRA,MF,Nice,fr Ligue 1,31,1989,7.2,21,12,9,11,1,6,13,46.2,7,8,2,6,20,41,18,0
Alessandro Schöpf,at AUT,MF,Arminia,de Bundesliga,27,1994,26.6,40,22,19,16,5,14,30,46.7,16,31,5,26,30,70,21,1
Jerdy Schouten,nl NED,MF,Bologna,it Serie A,24,1997,15.5,25,17,10,12,3,9,22,40.9,13,22,5,17,33,58,29,1
Nico Schulz,de GER,DF,Dortmund,de Bundesliga,28,1993,9.3,21,12,9,7,5,9,21,42.9,12,8,1,7,11,32,8,0
