Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25,41,23,29,12,0,21,25,84.0,4,37,20,17,23,64,66,1
Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,20,2001,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2,3,3,2,1,0,0,2,0.0,2,0,0,0,0,3,2,1
Matias Arezo,uy URU,FWMF,Granada,es La Liga,18,2002,2,5,3,2,1,2,4,9,44.4,5,1,0,1,1,6,1,0
Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,5,12,5,8,3,1,4,9,44.4,5,8,4,4,5,17,10,0
Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,16,10,4,2,2,6,0,6,0.0,6,13,1,12,3,13,6,0
Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16,27,19,15,6,6,9,23,39.1,14,10,1,9,8,35,15,0
Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,30,17,9,1,11,5,7,30,23.3,23,13,2,11,7,24,17,0
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33,37,20,19,16,2,20,50,40.0,30,43,15,28,37,74,55,0
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18,35,20,15,16,4,19,50,38.0,31,17,4,13,13,48,23,1
Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8,9,5,2,5,2,4,7,57.1,3,4,1,3,1,10,8,0
Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5,14,6,6,5,3,6,13,46.2,7,6,0,6,4,18,7,0
Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,18,11,6,3,6,2,5,19,26.3,14,14,1,13,7,18,7,0
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26,93,54,50,37,6,38,89,42.7,51,31,6,25,41,134,42,0
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,0
